id;year;Annual Hydric deficit (mm)
71079;1987;-294,2
71079;1988;36,1
71079;1989;-420,7
71079;1990;-306,12
71079;1991;-218,92
71079;1992;-14,54
71079;1993;26,65
71079;1994;-52,69
71079;1995;-255,84
71079;1996;-24,09
71079;1997;-53,82
71079;1998;-237,38
71079;1999;-92,63
71079;2000;-169,86
71079;2001;-257,72
71079;2002;-42,55
71079;2003;-254,18
71079;2004;-150,24
71079;2005;-272,07
71079;2006;-238,18
71079;2007;-218,24
71079;2008;-20,08
71079;2009;-212,87
71079;2010;-114,7
71079;2011;-386,09
71079;2012;-256,38
71079;2013;108,54
71079;2014;-70,97
71079;2015;-400,65
71079;2016;-253,8
