year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,maize-silage,temporary-grasslands,permanent-grasslands,apple,vineyards
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha
2000,57,53,51,88,58,30,23,25,30,20,100,73,41,433,73
2001,48,45,41,75,56,25,22,24,30,25,90,70,36,389,66
2002,55,52,47,92,70,26,23,33,30,32,140,66,35,447,54
2003,40,38,35,55,30,22,18,17,20,10,65,41,29,357,42
2004,53,51,50,80,51,26,21,26,17,14,100,76,52,374,68
2005,56,52,53,81,45,28,21,26,20,15,100,62,47,450,64
2006,53,50,48,89,48,27,18,25,22,15,95,60,41,380,58
2007,46,41,39,96,66,25,24,25,22,13,140,82,54,605,55
2008,56,51,49,98,70,32,27,30,26,15,95,73,56,442,58
2009,45,43,40,83,48,27,19,25,30,18,83,65,49,474,55
2010,55,52,51,87,55,24,22,29,38,21,83,65,47,543,63
2011,46,41,46,107,70,24,24,29,30,14,131,47,33,,69
2012,60,54,52,107,50,30,21,30,30,14,120,61,46,435,61
2013,55,48,46,92,48,30,18,28,27,13,111,85,67,493,45
2014,52,50,50,96,60,31,22,25,32,23,144,94,75,451,60
2015,54,51,50,92,52,21,17,28,30,22,88,70,57,460,55
2016,53,52,52,94,50,30,21,24,30,22,85,73,58,460,74
2017,57,55,57,95,51,26,24,27,30,14,80,60,49,477,55
