year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,triticale,winter-rapeseed,sunflower,soybean,spring-field-peas,temporary-grasslands,permanent-grasslands,vineyards,olive-rainfed,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha
2000,35,45,38,86,52,30,21,27,30,25,64,53,63,10.0,421
2001,29,35,28,78,52,21,10,23,30,25,65,61,48,15.0,461
2002,37,40,39,92,50,28,14,26,30,26,66,58,45,14.0,431
2003,27,30,25,60,45,30,13,19,15,11,56,24,48,13.0,367
2004,41,40,42,98,55,32,25,23,15,12,50,18,46,11.0,449
2005,39,42,39,89,58,35,35,23,15,25,57,19,43,13.0,449
2006,29,31,29,82,41,31,31,19,15,16,54,21,46,9.0,393
2007,41,47,42,100,60,35,24,29,,32,62,52,46,15.0,380
2008,45,47,44,90,55,35,20,30,25,22,64,54,39,19.0,350
2009,40,42,33,86,45,35,18,25,25,20,58,47,40,17.0,345
2010,40,42,42,105,38,40,15,20,,20,77,66,40,18.0,450
2011,38,40,38,107,50,40,16,24,25,28,43,37,47,15.3,443
2012,41,38,36,115,35,40,17,18,28,28,40,34,41,16.0,510
2013,43,42,46,95,40,40,24,20,28,28,93,80,35,22.7,543
2014,36,30,34,105,45,35,20,19,28,35,56,44,52,9.0,475
2015,36,28,37,75,44,35,22,19,28,20,46,39,47,22.7,492
2016,40,41,45,90,46,36,25,23,24,23,35,30,48,9.3,482
2017,29,31,46,90,43,35,25,20,25,23,54,49,34,12.9,433
