year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,triticale,winter-rapeseed,sunflower,soybean,spring-field-peas,temporary-grasslands,permanent-grasslands,vineyards,olive-rainfed,almond-rainfed,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,42,44,35,103,51,42,20,15,30,21,85,47,59,12.0,46.0,480
2001,37,37,34,98,55,43,20,18,35,23,70,45,53,20.0,46.0,500
2002,40,42,31,103,57,42,28,24,35,27,66,39,46,14.0,10.0,480
2003,28,32,25,95,43,33,22,10,23,21,43,24,56,20.0,16.0,460
2004,33,38,29,98,52,40,20,13,28,23,38,25,57,12.0,24.0,400
2005,35,37,30,101,50,41,20,13,25,32,43,27,47,12.0,23.0,430
2006,32,32,25,76,45,41,15,20,24,15,48,28,50,8.0,1.0,410
2007,39,39,37,120,60,40,22,10,25,23,59,39,49,12.0,8.0,425
2008,40,40,30,122,60,40,22,11,25,25,64,43,51,11.0,8.0,480
2009,35,39,34,120,60,40,18,12,11,21,54,32,55,8.0,8.0,488
2010,33,39,38,122,60,40,22,13,17,21,62,41,57,18.0,8.0,502
2011,36,38,36,115,60,38,12,17,23,18,66,43,50,,,527
2012,40,38,42,115,60,38,22,19,27,25,60,39,59,,,461
2013,40,38,40,110,60,38,22,18,27,25,70,45,51,11.1,,521
2014,34,30,32,115,60,38,20,15,25,25,51,36,68,5.6,,342
2015,29,30,30,120,51,35,16,14,28,12,47,36,63,20.4,,354
2016,40,43,43,110,49,38,21,16,25,13,56,37,56,8.4,9.5,323
2017,36,40,40,121,49,40,18,17,28,15,34,29,47,11.6,9.5,201
