year,winter-soft-wheat,winter-barley,triticale,maize-silage,temporary-grasslands,permanent-grasslands,vineyards
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha
2000,45,45,45,55,57,35,97
2001,42,45,42,60,59,37,92
2002,40,40,40,60,45,30,80
2003,30,35,22,50,32,19,69
2004,28,32,26,100,46,27,70
2005,32,38,35,90,38,27,32
2006,27,30,27,93,38,25,17
2007,42,40,40,93,74,48,19
2008,48,40,43,93,62,40,24
2009,48,42,40,93,38,28,24
2010,55,55,44,86,48,31,22
2011,30,27,30,90,26,16,24
2012,50,45,42,80,54,36,19
2013,55,40,44,80,54,34,29
2014,50,40,42,79,45,27,26
2015,30,30,25,55,33,22,20
2016,45,43,38,52,48,31,26
2017,46,40,37,50,38,28,17
