id;year;Annual precipitations (mm)
73081;1987;563,6
73081;1988;781,9
73081;1989;607,7
73081;1990;684,3
73081;1991;643,3
73081;1992;854,8
73081;1993;742,9
73081;1994;720
73081;1995;786,2
73081;1996;715,7
73081;1997;717,4
73081;1998;757,4
73081;1999;832,7
73081;2000;684,7
73081;2001;654,4
73081;2002;641,7
73081;2003;672,4
73081;2004;707,9
73081;2005;504
73081;2006;578,7
73081;2007;652,4
73081;2008;733,3
73081;2009;692,1
73081;2010;629,6
73081;2011;436,5
73081;2012;582,6
73081;2013;851,5
73081;2014;596,3
73081;2015;559,9
73081;2016;638,4
