id;year;Hydric deficit Winter (mm);Hydric deficit Spring;Hydric deficit Summer;Hydric deficit Fall
73081;1987;33,98;-156,09;-183,47;41,88
73081;1988;155,83;53,47;-196,48;-49,4
73081;1989;53,52;-158,58;-251,37;-31,5
73081;1990;46,13;-136,63;-295,26;170,07
73081;1991;14,37;-108,97;-183,14;84,61
73081;1992;-21,53;65,28;-222,37;188,57
73081;1993;-94,5;-81,46;-102,5;170,17
73081;1994;50,23;-79,97;-236,63;99,71
73081;1995;111,57;-224,98;-127,99;82,35
73081;1996;48,05;-216,38;-128,31;122,01
73081;1997;-51,77;-101,03;-149,61;98,88
73081;1998;-38,39;-89,71;-147,38;112,93
73081;1999;25,96;-97,79;-80,69;93,52
73081;2000;-9,73;-137,58;-283,72;179,12
73081;2001;81,83;-113,61;-167,17;-26,12
73081;2002;-35;-80,9;-194,67;102,45
73081;2003;24,81;-210,17;-252,39;104,53
73081;2004;137,25;-150,68;-251,57;62,98
73081;2005;-56,85;-211,14;-226,62;42,19
73081;2006;56;-269,09;-169,05;-6,86
73081;2007;55,38;-35,88;-222,63;0,42
73081;2008;52,1;-79,16;-219,94;123,58
73081;2009;11,53;-35,8;-326,28;134,19
73081;2010;25,94;-94,09;-261,15;62,83
73081;2011;9,61;-274,52;-251,07;-14,28
73081;2012;-63,02;-70,99;-294,12;80,62
73081;2013;199,67;-83,59;-236,36;118,39
73081;2014;127,62;-221,82;-207,38;-7,05
73081;2015;45,18;-207,45;-227,11;15,29
73081;2016;155,75;-128,52;-310,52;22,73
