id;year;IAC - F1 - Date de redémarrage pousse de l'herbe (200 DJ - 01/01);IAC - F3 - Date de fauche précoce (750 DJ - 01/02);IAC - M4 - Nb de séquences de 10 jours consécutifs sans pluie  (01/05au 31/08)
73081;1987;05/02/17;26/04/17;2
73081;1988;29/01/17;26/04/17;3
73081;1989;18/02/17;06/05/17;3
73081;1990;15/02/17;24/04/17;3
73081;1991;09/02/17;16/04/17;3
73081;1992;08/02/17;15/04/17;3
73081;1993;09/02/17;19/04/17;5
73081;1994;10/02/17;21/04/17;3
73081;1995;05/02/17;28/04/17;5
73081;1996;19/01/17;27/04/17;6
73081;1997;03/02/17;20/04/17;6
73081;1998;03/02/17;26/04/17;4
73081;1999;12/02/17;18/04/17;4
73081;2000;08/02/17;10/01/17;4
73081;2001;27/01/17;19/04/17;3
73081;2002;10/02/17;27/04/17;3
73081;2003;12/02/17;14/04/17;3
73081;2004;31/01/17;20/04/17;0
73081;2005;10/02/17;15/04/17;3
73081;2006;31/01/17;25/04/17;4
73081;2007;08/02/17;21/04/17;3
73081;2008;27/01/17;28/04/17;4
73081;2009;12/02/17;22/04/17;3
73081;2010;23/01/17;24/04/17;6
73081;2011;08/02/17;22/04/17;2
73081;2012;12/02/17;23/04/17;1
73081;2013;12/02/17;11/04/17;3
73081;2014;04/02/17;03/05/17;2
73081;2015;03/02/17;26/04/17;1
73081;2016;12/02/17;13/04/17;5
73081;2017;17/01/17;17/04/17;8
73081;2018;02/02/17;07/04/17;5
73081;2019;17/02/17;03/05/17;5
73081;2020;11/02/17;17/04/17;4
73081;2021;27/01/17;01/04/17;7
73081;2022;31/01/17;11/04/17;5
73081;2023;21/01/17;24/04/17;5
73081;2024;30/01/17;11/04/17;6
73081;2025;05/02/17;13/04/17;6
73081;2026;27/01/17;02/04/17;5
73081;2027;30/01/17;13/04/17;5
73081;2028;08/02/17;08/04/17;6
73081;2029;21/01/17;18/04/17;5
73081;2030;08/02/17;15/04/17;5
73081;2031;23/01/17;25/04/17;4
73081;2032;24/01/17;19/04/17;6
73081;2033;24/01/17;07/04/17;6
73081;2034;03/02/17;15/04/17;7
73081;2035;11/02/17;23/04/17;5
73081;2036;02/02/17;08/04/17;5
73081;2037;29/01/17;19/04/17;4
73081;2038;24/01/17;11/04/17;5
73081;2039;19/01/17;21/04/17;5
73081;2040;20/01/17;19/04/17;6
73081;2041;30/01/17;15/04/17;3
73081;2042;07/02/17;24/04/17;6
73081;2043;25/01/17;13/04/17;5
73081;2044;21/01/17;10/04/17;6
73081;2045;01/02/17;11/04/17;4
73081;2046;20/01/17;22/04/17;4
