year,winter-wheat,winter-barley,maize-for-grain,soybean,triticale,winter-rapeseed,sunflower,linseed-oild,field-peas,winter-field-bean,sorghum,maize-for-grain-rainfed,temporary-grasslands,permanent-grasslands
,(q/ha),(q/ha),(q/ha),(q/ha),(q/ha),(q/ha),(q/ha),(q/ha),,(q/ha),(q/ha),(QMS/ha),(qMS/ha),(qMS/ha)
2000,86,75,98,75,32,33,33,40,56,20,815,135,72,58
2001,84,74,88,70,30,26,20,41,39,10,639,125,72,49
2002,87,79,85,60,35,33,22,52,48,12,817,120,70,50
2003,74,64,64,70,34,35,20,46,45,10,718,100,51,35
2004,94,82,92,87,42,33,26,53,51,20,800,125,75,66
2005,82,80,89,75,41,35,20,41,38,20,865,136,69,66
2006,79,77,76,55,34,30,23,46,40,30,808,122,77,65
2007,80,73,100,50,33,30,18,36,55,20,941,130,84,73
2008,77,79,88,55,34,32,18,50,55,22,904,130,76,66
2009,89,80,93,58,42,34,25,57,58,22,1006,132,69,61
2010,87,79,87,60,38,27,25,50,34,21,815,105,69,53
2011,84,73,95,62,41,30,20,36,43,25,993,130,39,33
2012,80,76,92,40,37,31,20,49,43,22,928,131,64,59
2013,88,75,76,60,34,26,20,45,35,22,891,103,64,59
2014,94,84,99,58,43,28,20,47,30,25,978,145,66,63
2015,96,93,66,64,42,25,20,48,28,25,817,75,39,35
2016,56,61,75,29,33,21,20,24,26,25,900,114,64,54
2017,81,76,104,45,43,28,15,35,23,25,960,160,76,59
