year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,triticale,winter-rapeseed,sunflower,soybean,spring-field-peas,temporary-grasslands,permanent-grasslands,vineyards,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha
2000,45,44,42,85,55,55,15,15,15,25,58,31,48,490
2001,43,45,38,85,,60,18,14,13,22,55,23,38,360
2002,52,43,35,95,60,53,16,25,20,15,63,33,34,465
2003,35,38,32,95,,39,20,13,15,21,45,28,31,440
2004,37,37,45,103,,38,21,20,15,20,38,23,34,400
2005,31,29,30,94,,33,13,15,13,20,42,30,32,455
2006,35,32,32,98,,37,15,15,14,20,46,32,36,383
2007,40,36,35,120,60,40,26,12,25,23,58,42,33,420
2008,40,36,35,115,60,40,26,12,,24,64,46,28,380
2009,41,47,43,123,60,44,18,10,11,25,41,31,35,362
2010,41,47,40,122,60,40,28,15,17,25,55,40,40,375
2011,35,45,35,115,55,38,25,15,25,25,44,32,30,394
2012,40,46,53,115,55,40,24,22,25,25,65,46,31,327
2013,40,38,53,105,55,40,24,18,25,25,66,46,38,386
2014,45,40,46,115,60,45,20,19,25,25,48,34,38,387
2015,46,45,45,120,60,42,22,17,25,25,54,37,34,358
2016,46,45,49,110,60,42,25,18,25,25,65,45,46,379
2017,37,42,42,115,57,40,25,18,25,15,37,28,19,217
