year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,seed-maize,grain-sorghum,winter-rapeseed,sunflower,soybean,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,57,50,48,83,36,60,30,26,23,25,64,130,53,42
2001,53,45,50,84,30,58,28,24,23,25,61,124,54,38
2002,66,59,60,95,39,68,30,26,27,21,55,140,55,39
2003,58,50,50,72,27,52,25,26,20,9,51,102,39,28
2004,64,58,60,92,37,62,32,25,27,17,65,142,70,48
2005,68,58,65,74,25,50,35,25,23,18,58,97,41,31
2006,64,65,65,89,32,65,36,26,28,18,58,130,74,54
2007,51,47,38,93,35,67,28,26,25,18,47,151,83,56
2008,55,53,54,87,34,67,34,26,27,21,42,125,82,57
2009,52,52,50,86,35,68,33,25,25,22,60,132,75,51
2010,67,54,65,85,37,65,27,22,25,22,58,138,46,34
2011,55,48,50,97,35,67,28,28,28,18,64,153,25,18
2012,68,68,64,87,38,64,28,23,26,22,56,139,54,41
2013,60,58,47,86,40,45,25,22,25,25,45,118,65,45
2014,52,58,50,100,35,63,28,28,32,25,59,155,71,48
2015,60,62,50,91,36,50,27,21,26,25,61,115,54,37
2016,57,47,53,102,36,50,33,23,21,22,73,90,57,42
2017,65,53,58,111,35,63,31,28,26,23,52,125,67,47
