year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,rice,winter-rapeseed,sunflower,spring-field-peas,temporary-grasslands,permanent-grasslands,vineyards,olive-rainfed,almond-rainfed,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,36,38,34,76,55,50,17,18.8,25,49,29,73,15.0,6.0,454
2001,26,30,27,70,48,50,18,18,22,51,29,68,14.0,7.0,417
2002,40,38,38,89,55,55,18,20,30,49,30,58,16.0,7.0,380
2003,28,35,25,80,30,52,16,15,20,30,19,58,17.0,8.0,380
2004,37,38,35,90,60,51,17,16,30,30,19,63,17.0,8.0,400
2005,35,37,30,89,55,48,18,18,20,24,15,58,17.0,8.0,400
2006,30,35,25,77,68,50,25,15,20,17,17,64,20.2,10.0,390
2007,40,44,32,95,60,54,25,25,22,39,27,65,22.4,2.0,340
2008,40,45,34,83,58,60,25,25,21,42,25,53,34.9,2.0,350
2009,35,40,36,81,53,60,28,20,25,33,20,57,20.1,2.0,389
2010,38,42,37,76,45,50,22,15,30,53,32,57,29.4,0.6,445
2011,36,40,34,95,60,57,24,22,23,27,16,66,10.6,0.9,469
2012,37,39,33,90,60,58,25,19,22,33,22,61,24.5,2.5,396
2013,46,45,41,80,56,42,30,18,25,48,29,60,13.8,1.5,367
2014,31,35,30,100,60,55,20,30,20,28,15,67,12.9,3.2,356
2015,42,40,38,80,50,55,20,21,20,47,26,64,23.3,1.8,354
2016,48,42,41,80,45,53,30,20,20,45,22,66,21.6,2.5,368
2017,49,45,45,75,40,58,25,18,25,44,22,49,23.9,4.2,379
