year,A1,A2,A3
,label A1,label A2,label A3
1987,24,2465,223
1988,23,2124,193
1989,39,2443,295
1990,30,2434,231
1991,44,2431,353
1992,41,2427,281
1993,34,2573,270
1994,22,2346,227
1995,38,2424,271
1996,18,2328,165
1997,25,2215,275
1998,27,2544,227
1999,25,2490,228
2000,38,2299,284
2001,28,2316,189
2002,26,2588,232
2003,37,2536,261
2004,26,2430,230
2005,33,2278,267
2006,47,2215,335
2007,45,2407,369
2008,36,2397,237
2009,30,2548,278
2010,45,2662,333
2011,34,2400,243
2012,25,2314,215
2013,34,2450,246
2014,33,2403,253
2015,36,2500,233
2016,36,2411,280
2016
2017,86,2086,555
2018,69,2155,496
2019,47,2273,385
2020,50,2084,360
2021,46,1918,395
2022,49,2177,302
2023,70,2077,516
2024,51,2331,411
2025,51,2314,359
2026,60,2139,428
2027,32,2045,258
2028,70,1976,471
2029,44,2323,351
2030,63,2316,471
2031,68,2305,472
2032,47,2193,357
2033,52,2270,381
2034,63,2427,459
2035,74,2103,495
2036,51,2273,365
2037,66,2411,485
2038,52,1901,381
2039,59,2277,431
2040,72,2377,520
2041,38,2239,313
2042,60,2231,393
2043,77,2226,531
2044,76,2184,533
2045,47,2301,314
2046,50,2247,363
