year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,maize-silage,temporary-grasslands,permanent-grasslands,vineyards,apple,olive-rainfed,almond-rainfed
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,40,38,38,85,55,20,18,18,20,120,69,44,62,300,8.0,6.0
2001,38,35,33,71,50,15,18,17,20,120,67,38,54,309,7.0,6.0
2002,42,38,37,74,50,15,20,20,20,120,65,42,54,280,8.0,20.0
2003,25,24,24,50,35,8,16,12,10,50,20,10,45,200,10.0,17.0
2004,35,40,30,69,45,15,13,20,20,85,63,45,55,260,10.0,18.0
2005,35,40,35,77,40,18,17,15,20,70,30,19,49,225,10.0,18.0
2006,35,38,32,80,45,18,20,15,20,100,51,33,54,300,10.0,18.0
2007,35,38,32,80,45,18,20,15,20,108,69,46,51,320,10.0,5.0
2008,40,45,32,83,50,20,20,15,20,98,76,54,41,320,19.0,5.0
2009,30,35,28,72,40,17,20,15,20,84,49,32,46,310,24.0,5.0
2010,40,40,37,72,40,18,16,15,23,72,65,45,47,350,20.0,5.0
2011,30,26,28,95,45,15,20,15,15,55,47,32,56,380,12.0,9.0
2012,36,38,36,83,43,18,18,15,20,49,72,47,52,320,14.0,11.0
2013,40,42,38,70,45,20,18,20,18,109,67,47,50,320,22.0,9.0
2014,30,35,30,84,40,22,15,18,15,95,56,42,59,360,11.0,14.0
2015,28,30,24,72,35,18,15,18,10,54,48,32,50,350,21.0,5.0
2016,38,40,40,94,42,25,20,20,15,128,67,45,65,330,12.0,15.4
2017,39,42,40,87,40,27,18,25,24,62,42,26,39,290,8.0,10.0
