year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,seed-maize,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,48,48,46,91,30,52,25,24,26,36,61,105,64,37
2001,42,48,40,84,30,52,23,22,28,34,58,120,65,34
2002,57,49,58,99,30,56,23,26,26,47,49,120,85,51
2003,50,48,45,80,28,40,24,22,22,35,47,110,30,24
2004,53,53,46,91,30,57,28,24,24,36,62,125,76,60
2005,51,48,48,79,29,48,30,21,21,30,52,92,51,25
2006,53,52,60,86,36,55,32,25,21,31,49,115,65,49
2007,48,44,50,90,35,60,24,24,23,20,49,140,77,61
2008,50,49,47,91,33,63,25,25,25,20,41,142,88,60
2009,48,48,50,96,35,65,30,24,25,22,51,138,74,51
2010,56,45,50,99,38,65,25,22,23,23,50,145,52,38
2011,46,44,44,94,35,63,24,26,28,20,54,126,34,25
2012,58,56,56,93,38,65,26,23,25,23,49,177,60,44
2013,56,47,51,83,42,41,25,22,23,23,34,139,64,50
2014,51,58,48,105,35,64,22,27,30,25,49,161,70,55
2015,55,56,58,97,35,44,24,21,28,25,50,136,56,44
2016,53,52,50,100,38,45,26,22,26,25,59,108,56,46
2017,61,53,62,120,39,54,27,28,27,25,32,146,66,51
