year,winter-soft-wheat,winter-barley,triticale,rye,spring-oat,cereals-mixed-and-only-cereals,potatoes,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,58,50,55,38,30,40,200,29,120,70,53
2001,52,45,45,35,30,40,250,32,125,74,55
2002,58,52,55,35,33,50,250,34,130,67,51
2003,38,40,38,30,22,35,150,27,60,35,25
2004,55,53,50,38,22,50,200,36,90,66,46
2005,56,60,53,39,25,55,150,37,120,53,33
2006,45,55,45,38,25,45,200,38,110,59,40
2007,50,50,51,46,28,30,220,27,118,77,52
2008,52,50,50,38,29,30,220,28,98,76,51
2009,57,55,54,38,30,30,250,32,113,66,46
2010,58,56,55,40,28,32,250,27,111,67,46
2011,47,47,48,40,25,25,270,28,114,51,38
2012,56,55,53,42,30,30,240,27,108,67,47
2013,57,56,54,41,28,29,240,20,114,72,50
2014,60,60,59,39,28,29,240,28,130,76,51
2015,58,60,54,38,28,29,200,23,105,58,38
2016,55,50,52,40,28,29,200,23,80,65,45
2017,46,50,45,38,27,29,250,12,120,78,52
