year,winter-soft-wheat,winter-barley,spring-oat,triticale,rye,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,spring-field-peas,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,60,55,32,52,42,75,40,25,22,40,18,90,79,44
2001,54,50,30,48,37,85,40,27,22,32,18,90,77,45
2002,53,50,32,49,39,85,40,25,21,34,14,100,76,44
2003,33,33,21,32,26,70,35,15,13,17,13,60,35,20
2004,52,48,25,48,40,85,40,24,18,15,13,90,73,42
2005,52,51,25,50,40,76,35,28,14,20,14,70,50,28
2006,48,48,25,48,40,85,35,23,15,20,12,85,59,32
2007,52,51,30,50,47,93,40,21,25,25,11,88,78,46
2008,52,48,30,49,42,85,37,23,22,30,9,74,77,45
2009,50,47,30,48,42,90,38,27,24,30,15,74,63,37
2010,58,53,29,53,47,90,37,25,25,30,17,81,71,42
2011,48,43,25,44,42,90,25,15,26,25,16,99,52,31
2012,54,51,28,50,46,89,35,19,25,27,15,82,76,45
2013,55,57,28,50,47,85,35,19,24,27,14,82,72,43
2014,52,53,28,45,45,104,35,24,25,26,16,106,74,42
2015,50,53,28,44,46,80,25,27,18,22,14,65,55,33
2016,57,55,28,55,48,88,35,32,22,25,13,85,79,48
2017,48,50,27,47,44,90,45,24,27,25,12,90,69,42
