year,winter-soft-wheat,winter-barley,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,maize-silage,temporary-grasslands,permanent-grasslands,vineyards,apple,olive-rainfed,almond-rainfed
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,64,58,96,63,24,24,30,31,31,140,71,51,58,320,18.0,14.0
2001,57,50,94,68,22,23,33,32,28,140,72,52,50,310,19.0,14.0
2002,66,64,96,72,28,22,34,36,20,150,66,49,48,350,13.0,14.0
2003,45,48,58,40,19,15,22,28,10,100,30,22,46,180,20.0,11.0
2004,61,64,85,40,28,16,27,26,12,120,53,33,48,260,11.0,15.0
2005,55,57,97,48,27,20,26,35,12,120,44,27,43,330,16.0,15.0
2006,55,59,98,58,22,20,25,30,15,102,45,30,48,250,16.0,15.0
2007,55,55,100,60,20,20,28,25,15,103,74,53,47,345,16.0,9.0
2008,59,60,101,57,22,32,35,30,15,92,74,53,40,350,19.0,9.0
2009,57,57,90,61,22,22,25,25,15,72,48,32,42,310,24.0,9.0
2010,61,57,85,60,20,17,25,30,15,84,62,45,41,350,20.0,9.0
2011,52,44,115,67,23,25,30,30,15,101,54,40,48,380,12.0,9.0
2012,62,61,92,62,27,25,28,35,10,49,63,41,45,320,14.0,11.0
2013,59,55,92,59,25,18,25,30,10,78,70,51,39,320,22.0,9.0
2014,58,57,115,65,27,20,27,26,10,78,72,52,53,360,11.0,14.0
2015,60,57,85,45,24,16,32,28,10,7,60,44,48,350,21.0,12.0
2016,63,58,98,56,31,21,33,32,20,82,67,44,53,330,12.0,14.3
2017,67,62,101,60,30,21,32,32,22,40,48,29,37,290,8.0,10.0
