year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,seed-maize,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,potatoes,apple,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,48,48,40,74,,26,22,21,30,35,303,330,90,83,51
2001,45,41,38,73,,27,24,21,30,30,304,280,95,82,51
2002,55,53,44,78,,28,25,19,35,25,300,320,95,83,46
2003,45,45,37,63,,26,21,17,30,20,259,330,65,56,33
2004,55,53,47,82,,28,22,20,30,25,300,340,100,82,46
2005,53,50,44,62,,29,22,20,30,25,300,350,70,60,31
2006,50,49,45,75,,28,23,23,35,25,300,460,90,73,42
2007,44,45,44,76,35,24,26,23,20,18,250,500,140,87,54
2008,49,48,47,70,30,23,23,20,20,20,215,477,144,82,58
2009,50,48,50,80,30,26,25,24,22,20,270,500,140,75,52
2010,57,45,52,66,36,22,22,24,22,22,253,500,119,53,30
2011,40,35,38,67,40,18,23,23,18,18,245,540,95,32,19
2012,60,58,54,69,37,23,23,23,22,20,240,107,92,73,41
2013,55,56,51,70,55,22,21,20,22,24,220,515,86,80,45
2014,51,56,50,90,45,25,25,29,22,25,256,410,136,91,51
2015,55,58,53,63,35,27,20,25,25,25,258,577,56,73,40
2016,49,48,40,66,33,32,19,22,28,22,279,445,67,69,39
2017,54,52,44,102,30,30,28,24,27,22,290,499,136,88,50
