year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,cereals-mixed-and-only-cereals,winter-rapeseed,sunflower,spring-field-peas,broad-bean,apple,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,54,46,50,38,79,40,30,25,50,,320,100,70,51
2001,47,45,46,36,99,40,25,20,40,,310,100,71,58
2002,55,53,48,38,90,40,30,20,40,30,360,90,72,55
2003,45,50,42,33,51,35,30,10,28,27,310,70,51,37
2004,55,55,52,40,99,40,30,25,40,25,310,100,69,45
2005,54,56,53,40,63,40,32,18,48,19,350,70,48,35
2006,53,58,51,40,80,40,28,25,35,30,390,100,63,50
2007,38,38,40,35,96,34,23,22,20,20,380,135,78,63
2008,50,48,45,40,72,38,30,23,36,38,320,110,74,59
2009,60,55,50,47,89,40,31,25,38,35,420,128,72,53
2010,50,50,52,40,83,38,28,22,35,30,390,118,60,46
2011,52,47,46,39,88,43,25,23,31,13,405,106,56,39
2012,55,54,49,44,65,37,33,25,30,28,110,107,70,53
2013,50,55,48,37,68,40,28,20,28,28,380,123,79,59
2014,58,58,50,45,100,40,34,25,32,25,390,170,83,62
2015,60,58,53,45,65,45,35,22,30,20,470,86,55,44
2016,39,41,35,27,44,35,32,18,20,19,400,61,53.7,43
2017,53,50,49,33,96,39,33,29,31,24,279,150,82,65




















