year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,maize-silage,temporary-grasslands,permanent-grasslands,vineyards,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha
2000,74,62,63,90,70,30,30,30,42,130,79,55,63,208
2001,60,50,54,82,75,26,25,33,40,130,77,55,55,205
2002,73,70,65,93,75,34,32,30,40,130,78,55,53,200
2003,53,50,40,59,40,26,24,18,30,80,38,28,42,150
2004,80,70,75,103,75,35,32,28,40,130,79,58,60,240
2005,68,60,56,86,60,34,28,26,40,120,60,36,57,220
2006,72,65,60,89,55,30,28,30,35,140,81,58,59,230
2007,62,61,55,105,80,25,25,30,35,149,107,68,54,370
2008,63,59,55,91,70,32,22,30,40,145,92,61,50,340
2009,70,65,55,90,80,29,30,26,35,115,60,42,56,310
2010,72,64,63,92,65,32,30,28,40,125,85,60,52,350
2011,70,60,58,108,80,33,35,29,32,140,75,56,65,360
2012,67,61,63,97,80,35,26,28,38,150,96,62,40,320
2013,62,50,55,82,65,29,18,33,25,135,85,58,48,320
2014,72,68,61,112,75,39,22,33,29,145,96,68,54,360
2015,72,70,63,68,47,34,19,24,31,79,57,43,52,350
2016,55,55,47,89,65,36,29,32,15,135,78,52,58,330
2017,74,66,63,96,67,40,30,33,29,143,72,53,39,290
