year,winter-soft-wheat,winter-barley,rye,triticale,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,maize-silage,temporary-grasslands,permanent-grasslands,vineyards,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha
2000,65,60,40,60,85,,32,20,25,40,110,70,66,76,280
2001,55,45,35,55,81,,30,25,30,40,115,73,57,71,240
2002,72,56,45,65,90,,36,20,30,30,115,73,54,67,300
2003,53,50,40,50,53,,28,20,15,22,47,43,32,47,180
2004,70,65,50,62,81,,35,30,33,25,100,75,56,69,330
2005,65,63,45,60,92,,36,30,30,40,95,61,50,57,350
2006,60,60,40,60,87,55,29,25,25,35,89,66,56,59,350
2007,58,56,40,58,96,55,25,28,30,40,100,82,67,58,350
2008,48,48,40,55,92,54,27,28,30,40,100,95,94,62,340
2009,65,65,55,62,85,55,29,28,30,35,95,57,48,57,310
2010,58,62,50,60,79,55,28,22,30,45,95,68,55,52,350
2011,67,65,50,65,100,55,30,28,30,40,105,77,61,64,380
2012,65,60,45,65,85,54,27,24,35,42,98,68,54,26,320
2013,63,62,43,63,75,50,26,16,30,40,90,72,57,48,320
2014,64,63,40,63,92,55,32,20,35,40,115,81,65,51,360
2015,70,70,43,63,71,45,32,16,25,40,70,63,51,46,350
2016,65,57,43,57,96,54,35,28,35,30,90,62,51,35,330
2017,68,59,43,57,91,64,35,28,38,30,85,75,61,35,290
