year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,179,233,193,305
1988,457,338,149,186
1989,151,250,164,157
1990,309,237,152,286
1991,211,174,265,272
1992,157,256,284,449
1993,46,329,407,445
1994,327,457,294,297
1995,417,144,238,341
1996,283,156,198,319
1997,123,254,179,379
1998,188,269,169,280
1999,231,219,202,328
2000,216,287,200,427
2001,314,300,270,195
2002,169,248,235,325
2003,203,259,207,280
2004,274,210,305,246
2005,228,236,199,260
2006,402,243,310,245
2007,382,265,306,181
2008,342,462,217,317
2009,148,285,165,346
2010,314,304,217,238
2011,116,140,259,345
2012,109,369,167,374
2013,183,262,140,193
2014,205,231,254,217
2015,203,150,147,137
2016,340,309,74,163
