year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,70,62,60,101,55,29,27,30,37,50,108,140,96,58
2001,62,50,55,91,55,32,25,30,37,47,112,135,85,44
2002,75,70,67,91,70,35,27,30,53,60,112,140,82,44
2003,67,62,60,82,55,34,25,30,45,45,104,120,54,32
2004,69,62,60,97,55,31,25,30,40,35,133,130,90,50
2005,69,64,69,69,50,39,23,30,44,30,124,105,78,43
2006,63,57,59,92,55,30,21,30,41,25,117,115,88,50
2007,60,51,51,105,60,26,27,30,40,25,81,146,110,60
2008,66,62,62,95,60,27,25,25,45,35,92,124,121,64
2009,68,67,66,93,55,34,25,28,47,30,117,90,79,43
2010,60,54,53,89,39,24,23,28,31,20,113,104,53,28
2011,49,48,51,92,55,28,22,20,24,15,119,102,39,20
2012,74,70,66,87,52,35,23,25,43,28,102,75,79,44
2013,70,63,62,88,54,32,21,25,42,30,103,107,104,56
2014,69,65,66,106,65,36,26,30,35,32,111,126,101,56
2015,72,67,69,93,42,32,20,22,37,22,125,115,101,59
2016,67,66,53,84,40,34,22,20,38,25,106,83,73,44
2017,65,58,65,99,52,35,29,25,35,27,98,98,83,46
