year,wheat,barley,rye,triticale,maize-for-grain,winter-rapeseed,soybean,beans-dry,almond-rainfed,olive-rainfed,apple,grapes,tomatoe
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,4.25,3.26,2.61,3.46,5.88,2.50,2.46,1.8803,,1.96,42.08,7.6286,21.12
2001,4.60,3.51,3.04,3.49,5.41,2.90,2.74,2,,1.38,25.46,6.4229,16.55
2002,4.89,3.88,3.29,3.95,8.16,2.13,2.40,2,0.86,3.10,45.72,7.4078,23.15
2003,3.45,2.88,2.17,3.02,5.08,1.79,1.70,2,0.84,1.05,32.80,6.3055,19.22
2004,4.53,3.90,3.14,4.19,7.78,2.79,2.90,2,0.83,2.60,45.15,8.1416,32.92
2005,4.70,3.96,3.10,3.95,8.29,2.37,1.94,2,0.81,3.44,34.27,7.3574,40.42
2006,4.19,3.62,2.78,3.82,6.93,1.78,2.33,1,0.79,2.26,38.46,6.4211,26.34
2007,4.16,3.66,3.06,3.89,7.54,2.75,2.76,2,0.78,1.78,39.84,7.618,30.56
2008,4.53,3.99,2.91,4.09,7.32,2.46,2.80,1,0.76,2.73,35.80,6.5721,25.16
2009,3.96,3.52,2.60,3.98,7.84,2.23,2.92,2,0.74,2.01,35.14,7.0157,23.35
2010,4.80,4.28,3.36,4.05,8.54,2.93,2.66,2,0.73,2.12,42.52,6.6382,32.19
2011,5.18,4.54,3.52,4.41,8.69,2.92,2.73,2,0.71,1.91,38.54,7.4244,27.42
2012,5.44,4.72,3.79,4.37,7.08,3.25,2.45,1,0.71,0.83,20.47,5.6464,33.09
2013,4.35,4.00,3.37,3.62,5.41,2.47,1.67,1,0.71,1.60,34.98,6.228,31.33
2014,5.23,4.85,4.11,4.75,9.15,3.57,2.59,2,0.63,0.82,39.23,5.8848,28.36
2015,5.11,4.63,3.77,4.66,8.97,2.24,2.75,2,0.57,1.47,46.69,7.4933,45.33
2016,5.19,4.78,4.10,4.67,9.51,2.72,3.00,2,0.55,1.42,24.66,5.9896,42.41
2017,5.03,4.81,4.08,4.56,7.11,2.62,2.65,1,0.55,1.36,33.97,5.6453,41.98
