year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,seed-maize,grain-sorghum,winter-rapeseed,sunflower,sugar-beet,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,68,59,49,39,101,45,70,27,24,806,56,135,70,44
2001,54,48,36,35,87,39,80,24,21,722,51,118,65,41
2002,62,58,55,55,87,41,70,29,24,780,44,120,62,38
2003,45,44,33,35,69,30,35,23,18,470,26,67,31,19
2004,66,62,54,51,60,56,80,30,27,773,53,125,75,45
2005,59,55,47,40,65,40,63,28,24,782,51,125,47,32
2006,60,58,49,43,58,34,68,24,24,813,41,113,65,39
2007,51,48,40,38,100,36,70,24,26,865,38,120,71,41
2008,56,54,46,40,91,33,60,30,24,752,35,102,67,42
2009,68,61,56,46,100,37,70,35,26,873,39,122,63,40
2010,65,58,54,43,92,32,70,29,23,792,28,117,65,40
2011,53,49,46,40,96,33,60,24,27,863,38,116,38,24
2012,65,58,54,44,91,37,65,28,27,833,34,102,59,37
2013,64,56,52,44,98,35,60,27,27,829,29,116,63,40
2014,65,59,52,44,112,37,60,33,27,974,43,139,64,40
2015,62,58,51,40,82,24,45,28,20,810,42,80,47,30
2016,52,50,42,38,86,32,55,33,21,765,42,86,55,35
2017,61,54,50,35,105,37,50,34,30,791,25,100,55,35
