year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha,Tons-ha
2000,69,63,55,74,53,27,24,26,45,40,55,129,74,53,440
2001,59,51,49,65,42,24,20,22,31,35,52,114,58,42,426
2002,76,66,61,77,52,32,24,26,43,38,54,108,57,40,468
2003,57,51,55,79,54,29,25,25,28,28,44,90,60,41,410
2004,67,65,62,79,58,31,23,52,38,30,60,120,55,39,380
2005,67,66,59,80,59,39,23,52,38,45,53,120,55,39,360
2006,61,65,55,78,50,26,25,26,35,37,49,108,52,39,495
2007,60,54,40,88,45,25,28,,33,33,50,124,62,49,490
2008,66,65,55,72,45,30,25,23,40,20,43,51,63,54,513
2009,67,64,52,80,50,34,27,23,51,26,55,89,57,49,536
2010,65,58,53,88,40,30,27,23,42,32,50,84,50,37,493
2011,58,57,47,89,60,30,30,25,32,31,55,81,39,33,507
2012,69,69,60,83,55,35,26,23,38,29,38,87,63,50,246
2013,64,62,55,81,59,24,23,25,36,29,42,86,66,51,493
2014,69,67,42,102,60,34,24,25,36,25,47,108,62,49,540
2015,74,67,55,77,57,33,23,23,32,30,48,87,63,49,517
2016,46,52,37,60,46,30,23,18,20,14,33,61,46,37,475
2017,71,65,48,93,61,36,33,24,39,23,46,95,54,38,462
