year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,other-cereal,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,71,65,52,100,35,33,28,26,40,35,46,136,73,55
2001,60,55,45,85,30,22,23,25,32,30,34,121,71,50
2002,74,70,59,92,35,33,28,28,40,32,44,135,68,52
2003,55,56,45,50,30,30,25,15,30,25,17,80,35,25
2004,80,74,64,97,40,39,27,25,25,30,46,140,68,60
2005,67,62,55,82,33,30,28,24,35,30,37,125,68,59
2006,67,63,58,68,40,29,22,23,30,30,27,115,65,56
2007,60,54,46,95,35,31,25,25,25,25,37,125,73,63
2008,62,62,50,84,45,34,23,25,17,30,38,130,70,60
2009,70,66,55,93,45,39,26,25,30,33,43,135,71,58
2010,70,65,58,85,45,36,22,25,30,25,33,135,70,59
2011,66,59,53,102,38,35,27,27,30,25,39,140,65,56
2012,61,55,40,93,38,34,26,27,40,41,17,130,78,66
2013,63,57,53,76,36,31,19,24,42,35,21,117,71,59
2014,65,64,53,97,45,37,22,27,25,26,27,140,65,58
2015,70,72,56,60,45,35,20,21,26,26,24,90,57,47
2016,42,54,33,79,30,30,25,23,12,10,15,95,73,60
2017,69,66,54,94,49,40,32,29,42,18,28,130,59,52
