year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,other-cereal,winter-rapeseed,rye,potatoes,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,65,61,54,90,,31,49,330,130,72,51
2001,53,52,45,80,,25,40,300,120,65,46
2002,62,62,55,90,,33,50,300,120,71,49
2003,50,50,46,55,31,30,37,200,68,32,22
2004,78,67,60,100,40,38,50,300,140,74,70
2005,67,59,53,88,45,34,53,220,130,69,66
2006,67,63,58,68,40,29,56,150,110,63,60
2007,59,48,47,89,35,33,53,250,130,78,72
2008,62,58,50,89,45,30,55,250,125,70,66
2009,69,62,63,100,48,40,55,380,135,65,62
2010,68,64,58,85,45,36,60,350,135,71,67
2011,72,65,65,106,40,38,60,368,150,71,65
2012,61,50,44,95,38,34,55,276,134,79,73
2013,65,57,50,82,36,35,51,283,120,66,63
2014,74,69,63,105,45,45,60,291,145,74,70
2015,68,72,54,65,45,38,57,248,90,56,51
2016,50,52,50,72,32,32,32,222,75,66,62
2017,80,71,52,107,49,45,122,222,140,61,60
