year,spring-oat,winter-soft-wheat,spring-soft-wheat,winter-rapeseed,maize-silage,maize-for-grain,spring-barley,winter-barley,spring-field-peas,potatoes,temporary-grasslands,permanent-grasslands,rye,vineyards
,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt TM/ha,dt TM/ha,dt/ha,hl/ha
2000,56.6,71.8,57.4,36.0,487.8,97.6,53.1,62.8,37.0,433.1,82.3,66.6,58.5
2001,59.3,70.2,53.4,36.4,451.1,92.3,47.5,62.8,32.2,374.5,73.8,70.5,59.4,70.6
2002,53.7,72.8,53.5,37.7,505.5,100.4,48.9,62.6,36.1,363.0,71.1,66.0,60.6,89.2
2003,55.4,61.8,49.9,29.1,472.9,87.1,47.9,57.1,26.6,299.0,56.5,48.1,54.9,64.0
2004,58.4,75.6,66.9,39.0,488.6,92.8,57.0,62.3,33.2,399.2,75.2,60.7,61.9,89.3
2005,55.9,71.2,58.2,38.3,503.4,92.1,49.4,57.3,41.1,382.1,76.8,60.5,60.6,71.1
2006,52.9,70.4,55.2,41.5,481.7,81.3,47.7,61.9,32.8,313.9,67.5,56.4,64.6,69.3
2007,50.3,76.3,61.2,45.6,497.4,85.0,45.4,63.1,32.5,379.2,80.4,68.0,61.2,73.0
2008,60.3,76.7,60.9,37.9,468.6,89.4,52.3,61.5,,393.0,79.4,61.5,60.1,93.7
2009,61.2,66.6,55.2,38.5,507.9,98.6,51.9,61.1,,389.9,66.7,57.7,55.2,42.2
2010,58.1,68.3,49.8,38.0,535.7,98.5,54.5,64.7,,,,55.0,53.2,70.5
2011,,81.8,,,,123.8,,71.3,,,,,,81.0
2012,,76.8,,,,116.7,,66.4,,,,,,63.9
2013,,73.7,,,,,49.6,62.8,,,,,,72.4
2014,,,,,,111.0,,78.6,,,,,,85.7
2015,,81.7,,,,106.9,,65.1,,,,,,65.0
2016,,61.4,,,,91.3,,69.4,,,,,,73.2
2017,,,,,,,,,,,,,,64.2
