year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-1.5,11.2,17.2,5.0
1988,2.4,13.1,16.7,5.0
1989,3.6,12.2,16.8,4.7
1990,4.3,12.8,16.9,5.2
1991,2.3,10.8,18.6,4.0
1992,1.8,12.9,18.3,4.2
1993,1.9,14.2,16.0,4.4
1994,3.9,12.5,18.2,6.5
1995,1.8,11.4,16.3,4.9
1996,-0.7,12.1,14.4,3.4
1997,2.6,11.3,16.6,4.7
1998,2.9,13.2,16.4,4.0
1999,1.9,12.5,17.4,4.1
2000,2.6,13.9,16.1,6.6
2001,3.5,11.9,16.0,4.6
2002,3.6,13.1,15.8,6.4
2003,1.0,14.8,18.1,4.1
2004,1.6,12.1,17.0,5.1
2005,0.6,13.2,16.4,4.3
2006,-0.6,13.2,18.1,7.6
2007,4.8,15.1,16.1,4.0
2008,3.4,13.3,16.1,4.7
2009,0.3,14.1,17.8,5.5
2010,0.6,12.2,16.5,3.8
2011,2.6,14.0,17.1,5.6
2012,1.5,13.7,17.5,5.6
2013,0.6,12.2,17.8,6.1
2014,4.9,13.5,16.5,7.5
2015,1.2,12.8,17.4,6.7
2016,2.8,12.2,17.3,4.6
