year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha,Tons-ha
2000,66,50,65,89,50,25,21,25,40,30,58,125,111,85,461
2001,53,45,58,75,80,25,15,30,32,28,57,114,92,62,435
2002,75,63,72,77,71,32,23,16,42,30,55,126,90,73,562
2003,63,51,58,72,74,27,26,15,37,16,52,115,58,48,560
2004,71,57,72,68,70,30,22,15,32,20,62,104,82,55,534
2005,67,60,65,68,58,37,25,17,41,22,55,87,45,35,512
2006,65,62,60,81,64,27,24,16,36,25,55,96,74,51,556
2007,54,47,53,99,52,27,27,,30,22,51,133,103,67,543
2008,65,60,56,85,55,29,26,,39,24,43,117,96,65,586
2009,73,68,65,77,60,34,25,18,43,30,58,102,84,58,591
2010,65,62,53,73,60,27,26,17,36,31,57,130,53,34,580
2011,63,58,53,91,63,31,28,17,33,27,56,110,51,31,556
2012,75,70,65,84,58,35,25,17,36,29,43,124,90,59,426
2013,66,63,57,74,63,27,23,17,40,31,51,110,81,57,667
2014,72,69,63,99,65,34,27,22,37,35,54,135,111,75,553
2015,75,69,69,76,60,29,23,18,45,26,56,111,115,83,612
2016,57,54,40,67,50,30,27,25,29,24,52,101,91,55,552
2017,70,65,60,90,68,37,32,29,37,27,47,108,57,44,518
