year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,73,66,52,90,30,29,29,30,51,50,63,100,95,57
2001,61,58,40,92,35,26,30,30,44,38,54,95,78,42
2002,78,75,61,83,38,33,23,32,55,48,55,98,68,39
2003,57,53,50,94,33,32,29,30,46,45,42,70,49,28
2004,73,70,65,100,38,34,28,30,47,42,70,120,68,52
2005,69,75,57,105,52,40,32,30,44,42,61,125,71,46
2006,61,65,53,85,45,28,25,30,38,42,57,75,52,37
2007,63,64,40,90,40,29,28,25,34,30,55,117,76,48
2008,70,73,46,94,45,35,28,25,53,20,45,45,75,53
2009,74,68,45,95,50,39,25,25,51,23,58,59,65,48
2010,66,62,55,99,45,34,29,25,47,34,61,96,60,38
2011,61,60,47,106,60,34,32,25,37,33,58,93,44,28
2012,73,76,55,82,55,39,32,25,38,30,29,85,72,50
2013,70,68,52,83,60,29,26,25,38,30,53,88,74,52
2014,75,70,50,102,60,38,24,25,43,31,51,97,69,49
2015,76,72,56,84,57,36,19,23,36,32,46,90,65,46
2016,44,52,36,79,43,31,20,22,21,17,45,80,50,26
2017,73,67,48,105,59,38,35,31,40,23,35,122,67,45
