year,spring-oat,winter-soft-wheat,spring-soft-wheat,winter-rapeseed,maize-silage,spring-barley,winter-barley,spring-field-peas,potatoes,temporary-grasslands,permanent-grasslands,rye
,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt TM/ha,dt TM/ha,dt/ha
2000,56.8,75.4,66.9,36.4,469.3,53.5,63.7,34.5,432.9,74.0,68.5,56.6
2001,57.4,75.8,65.6,36.0,447.3,49.6,63.2,33.2,387.4,71.6,69.1,59.6
2002,49.4,67.9,62.1,31.6,448.0,45.4,57.6,33.3,344.1,71.8,70.1,56.1
2003,52.1,63.0,51.2,25.5,442.5,49.7,53.5,28.7,333.7,55.8,55.1,50.6
2004,56.4,77.6,72.5,36.0,436.5,54.3,59.9,37.4,362.3,68.5,57.5,58.4
2005,52.1,70.9,60.2,41.0,442.8,46.0,54.6,38.3,353.3,64.2,63.5,50.7
2006,53.8,73.5,62.8,38.7,444.8,48.5,59.8,37.3,323.0,61.7,58.0,53.9
2007,49.6,81.4,66.2,43.9,499.3,51.7,63.3,38.7,357.1,70.9,63.1,59.0
2008,61.1,83.3,64.6,37.5,485.1,58.4,63.8,36.7,340.2,67.4,61.8,60.9
2009,60.4,72.3,59.1,40.7,482.2,52.9,64.6,37.0,397.5,64.9,57.4,63.4
2010,49.3,68.9,60.7,38.2,440.7,52.7,61.0,41.4,333.7,63.4,57.2,59.7
2011,50.2,74.1,,32.4,506.3,59.2,67.6,,426.0,,56.4
2012,63.7,79.9,,39.5,411.5,64.2,71.3,,278.0,,48.4
2013,52.0,80.2,,39.0,433.5,51.8,72.8,,,,57.2
2014,59.2,91.2,,48.7,523.0,71.2,80.7,,,,64.7
2015,53.5,80.1,,39.7,391.5,51.6,72.4,,,,55.4
2016,47.4,62.7,,38.6,443.3,49.6,66.0,,,,103.0
2017

