year,spring-oat,winter-soft-wheat,winter-rapeseed,maize-silage,maize-for-grain,spring-barley,winter-barley,potatoes,permanent-grasslands,rye,triticale
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-DM-ha,Q-ha,Q-ha
2000,60.3,75.0,36.5,484.8,102.5,53.8,64.2,403.9,70.7,58.0,68.7
2001,58.3,74.5,36.7,441.9,95.2,51.5,64.0,373.9,72.7,55.5,69.1
2002,52.5,72.0,32.0,460.6,96.7,51.1,62.5,340.9,69.6,55.8,67.9
2003,53.8,61.8,25.8,430.8,83.1,50.6,54.5,328.5,58.3,47.1,61.5
2004,56.7,78.3,36.5,448.7,90.2,55.8,66.4,384.2,73.3,52.3,72.1
2005,56.0,73.9,41.3,449.2,97.6,52.4,58.4,359.0,70.2,54.4,66.7
2006,52.6,74.6,40.6,413.3,85.1,49.6,62.8,336.9,65.6,51.7,63.6
2007,48.2,77.6,44.3,425.7,100.2,50.6,67.3,365.4,75.5,57.5,66.8
2008,57.5,75.5,37.5,452.7,108.5,53.9,61.0,371.5,75.1,56.8,70.6
2009,53.9,63.0,33.9,429.8,100.8,48.7,56.1,383.1,69.3,59.0,62.9
2010,50.3,69.4,37.6,415.8,102.0,53.7,64.0,371.1,62.0,54.1,62.6
2011,,87.8,,481.8,,,74.9,,75.5
2012,,76.5,,458.9,,64.3,72.3,,72.3
2013,,84.5,,383.9,,,66.7,,65.1
2014,,91.8,,470.7,,,73.7,,70.9
2015,,78.7,,445.4,,,71.9,,74.4,,76.7
2016,,65.9,,384.6,,47.5,64.3,,68.2,,55.6
2017
