year,spring-oat,winter-soft-wheat,spring-soft-wheat,winter-rapeseed,maize-silage,maize-for-grain,spring-barley,winter-barley,potatoes,permanent-grasslands,rye,triticale,vineyards
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-DM-ha,Q-ha,Q-ha,Hl/ha
2000,53.6,69.6,57.2,34.3,474.1,100.5,50.8,61.7,394.2,63.7,53.8,64.3,88.2
2001,55.1,70.2,55.8,35.1,445.5,88.0,48.5,62.5,353.9,63.2,56.3,64.4,101.6
2002,49.2,68.2,56.5,32.1,467.3,100.8,47.4,60.2,339.7,63.3,53.7,63.0,74.3
2003,49.4,59.7,51.1,26.6,403.4,75.9,48.5,52.8,268.9,44.3,45.1,55.0,101.1
2004,54.8,77.7,64.1,38.3,447.2,92.1,57.1,64.7,358.4,58.3,58.8,71.0,93.9
2005,48.7,68.8,56.6,37.6,462.0,94.5,47.5,55.2,344.7,59.8,53.5,63.3,87.7
2006,52.1,73.5,58.6,39.9,439.4,81.4,50.6,62.3,319.8,57.1,55.2,66.3,97.5
2007,44.7,72.3,54.8,42.1,469.5,97.9,44.3,60.2,349.9,61.0,53.1,67.4,96.9
2008,55.5,74.4,59.1,37.4,478.4,105.4,53.2,58.4,357.2,59.6,58.8,68.1,86.0
2009,59.0,73.5,60.1,41.8,484.4,109.2,55.3,65.6,369.0,61.2,60.2,69.0,69.9
2010,49.5,69.0,56.1,38.8,439.1,98.5,55.0,62.1,346.8,58.0,55.7,65.9,89.1
2011,47.8,69.8,57.6,26.5,484.8,121.2,50.4,61.7,431.6,57.7,48.0,67.5,86.9
2012,56.4,68.3,59.6,33.4,471.3,117.2,61.4,62.7,419.0,58.7,53.6,61.6,75.1
2013,45.2,74.1,59.0,37.0,426.6,95.6,55.4,68.3,364.9,56.6,58.8,69.9,88.5
2014,52.5,83.5,60.6,47.2,485.3,115.7,59.7,76.2,473.2,59.1,52.8,74.4,84.1
2015,46.6,76.3,54.2,40.8,393.2,84.3,53.9,67.4,369.4,48.5,53.2,67.5,91.8
2016,45.6,66.1,51.3,38.8,427.1,96.1,49.6,67.4,365.6,61.9,55.6,53.1
2017,45.2,77.8,,38.4,485.6,116.3,56.8,73.8,444.3,,,70.0
