year,spring-oat,winter-soft-wheat,winter-rapeseed,maize-silage,maize-for-grain,spring-barley,winter-barley,sugar-beet,potatoes,temporary-grasslands,permanent-grasslands,rye,triticale
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-DM-ha,Q-DM-ha,Q-ha,Q-ha
2000,59,76,36.6,498,104,55.8,66.1,632,442.9,76,70,64,72.2
2001,60,77.8,37,459,94,52,66,622,373,78,73,66,72.2
2002,54,72.5,32.4,487,101,51,61,633,368,76,71,61,67
2003,52,67.3,27,456,90,52,56,585,314,65,57,58,61.6
2004,56,76.9,41.7,442,92,53,64,650,318,71,68,57,72.4
2005,54,72.5,39,499,99,47,57,658,365,75,69,61,66.4
2006,56,76.5,39.8,459,87,48,64,628,336,76,62,63,72.1
2007,49,79.6,42.8,495,93,51,68,680,396,83,70,68,74.4
2008,58,77.8,36.5,504,106,55,62,680,367,72,75,67,75.1
2009,60,72.6,39.7,523,119,52,66,706,378,84,71,63,71.5
2010,53,72.4,36.5,406,106,56,67,729,372,55,53,61,70.6
2011,41,78,33.3,516,112,59,65,,,,70
2012,62,78.7,40.8,441,123,67,74,,,,66,,77.8
2013,47,82.7,38.5,463,,54,72,,,,62,,86.1
2014,63,94.2,51,487,117,65,84,,,,59,,87.4
2015,55,85.8,37.3,409,108,50,73,,,,59,,81.4
2016,51,64.7,38.2,435,94,45,64,,,,82,,43
2017
