year,spring-oat,sugar-beet,wheat,winter-rapeseed,lupine,maize-for-grain,millet,barley,potatoes,rye,soybean,sunflower,triticale,vetch
,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha
2000,36,614.801,44.688,24,,98.6,22.478,38,292.627,35,21,25,48.975
2001,41,620.405,52.412,26,,91,20,47,300,42,21,25,50.324
2002,36,684.463,49.667,23,,100,20,43,304,36,25,27,45.847
2003,37,575.015,43.801,18,30,87,22,42,265,33,26,28,41.483,20
2004,46,648.658,59.234,34,30,97,22,53,316,47,25,27,54.706,20
2005,43,690.041,50.286,30,30,107,22,46,344,38,28,27,50.306,20
2006,37,632.75,49.066,32,30,96,19,44,299,35,26,24,46.541,20
2007,32,628.392,47.763,30,30,103,19,42,295,40,26,23,53.799,20
2008,41,718.403,56.935,31,30,113,19,52,332,41,29,30,54.131,20
2009,40,702.949,49.295,30,30,108,43,46,325,38,28,27,50.247,20
2010,37,698.393,50.117,32,23,97,23,46,306,35,28,26,48.231,20
2011,44,742,58.549,33,23,113,36,56,357,44,29,28,50.028,20
2012,38,632.204,41.388,27,19,107,38,44,305,42,28,23,50.314,20
2013,38,681.589,53.743,34,19,81,35,51,286,42,20,24,49.813,20
2014,45,838.704,59.217,38,22,108,38,58,351,48,27,28,58.983,20
2015,41,627.974,56.962,30,20,87,42,55,263,43,24,20,52.882,15
2016,42,812.569,62.534,36,17,112,41,61,362,50,31,33,58.769,15
2017,33,701.366,48.712,29,15,99,43,56,284,37,30,23,52.346,15
