year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands,pear
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha,Tons-ha
2000,73,62,55,99,50,31,28,26,52,42,72,130,75,57,350
2001,64,54,40,86,45,25,20,26,47,39,36,121,67,52,233
2002,77,69,55,88,50,32,25,28,55,42,36,124,61,42,330
2003,55,44,40,89,45,32,26,25,48,37,25,72,44,38,263
2004,77,69,55,101,54,36,30,28,45,40,55,130,62,43,340
2005,69,69,50,102,54,42,30,28,50,41,47,128,67,47,280
2006,65,66,50,97,50,29,25,35,50,36,29,110,45,32,348
2007,66,59,44,100,40,30,25,25,36,30,36,98,66,46,170
2008,71,70,50,103,45,33,30,30,50,20,31,33,61,45,196
2009,74,66,56,96,50,37,30,30,48,24,36,82,45,42,325
2010,67,63,50,103,45,33,32,25,50,35,38,99,56,38,358
2011,66,59,45,110,60,32,30,25,38,31,28,100,39,25,333
2012,76,75,52,101,55,37,30,25,37,33,21,75,63,45,200
2013,72,69,52,99,60,28,28,23,38,30,28,72,67,47,235
2014,74,68,54,109,60,38,24,26,42,26,34,50,63,44,310
2015,76,71,52,91,58,35,20,23,35,27,29,54,57,39,335
2016,36,48,34,80,43,29,20,20,26,15,21,50,31,24,341
2017,69,61,51,114,58,37,32,31,39,21,21,135,59,41,309
