year,spring-oat,winter-soft-wheat,winter-rapeseed,maize-silage,spring-barley,winter-barley,potatoes,temporary-grasslands,permanent-grasslands,triticale
,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt TM/ha,dt TM/ha,dt/ha
2000,53.6,69.6,34.3,474.1,50.8,61.7,394.2,74.1,63.7,64.3
2001,55.1,70.2,35.1,445.5,48.5,62.5,353.9,63.7,63.2,64.4
2002,49.2,68.2,32.1,467.3,47.4,60.2,339.7,70.5,63.3,63.0
2003,49.4,59.7,26.6,403.4,48.5,52.8,268.9,53.5,44.3,55.0
2004,54.8,77.7,38.3,447.2,57.1,64.7,358.4,60.7,58.3,71.0
2005,48.7,68.8,37.6,462.0,47.5,55.2,344.7,59.1,59.8,63.3
2006,52.1,73.5,39.9,439.4,50.6,62.3,319.8,61.2,57.1,66.3
2007,44.7,72.3,42.1,469.5,44.3,60.2,349.9,57.1,61.0,67.4
2008,55.5,74.4,37.4,478.4,53.2,58.4,357.2,60.0,59.6,68.1
2009,59.0,73.5,41.8,484.4,55.3,65.6,369.0,61.4,61.2,69.0
2010,49.5,69.0,38.8,439.1,55.0,62.1,346.8,,58.0,65.9
2011,47.8,69.8,26.5,484.8,50.4,61.7,431.6,,57.7,67.5
2012,56.4,68.3,33.4,471.3,61.4,62.7,419.0,,58.7,61.6
2013,45.2,74.1,37.0,426.6,55.4,68.3,364.9,,56.6,69.9
2014,52.5,83.5,47.2,485.3,59.7,76.2,473.2,,59.1,74.4
2015,46.6,76.3,40.8,393.2,53.9,67.4,369.4,,48.5,67.5
2016,45.6,66.1,38.8,427.1,49.6,67.4,365.6,,61.9,53.1
2017,,,38.4,485.6
