year,spring-oat,sugar-beet,winter-soft-wheat,winter-rapeseed,spring-field-bean,maize-silage,maize-for-grain,winter-barley,winter-field-peas,apple,permanent-grasslands,rye,triticale,vineyards
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-DM-ha,Q-ha,Q-ha,Hl-ha
2000,46.5,719.1,69.6,33.1,37.1,511.9,94.2,59.9,33.4,251.2,89.8,50.3,54.4,80.9
2001,48.1,623.4,70.5,33.1,37.5,477.9,84.5,62.1,36.5,220.7,89.0,50.3,59.5,84.6
2002,42.2,711.8,66.5,29.7,35.9,526.3,95.5,57.5,32.9,221.4,93.0,50.0,52.2,76.4
2003,45.5,545.3,58.4,23.8,27.0,441.5,77.6,46.0,26.8,255.8,69.2,38.1,46.1,73.3
2004,50.6,696.9,81.8,38.6,37.2,502.8,93.9,65.3,35.9,327.8,89.6,64.0,70.1,80.6
2005,42.3,663.1,68.4,36.5,36.8,508.5,93.5,57.2,32.6,223.2,95.4,50.6,52.4,71.7
2006,43.5,658.1,68.5,37.6,33.8,483.2,88.1,55.5,32.7,262.9,93.7,48.9,58.3,81.5
2007,42.4,735.3,74.4,40.1,37.4,526.0,99.6,58.1,33.3,351.4,94.1,52.7,62.7,89.3
2008,45.2,689.7,73.7,35.0,35.5,511.8,103.2,57.6,32.1,316.6,90.5,54.9,57.1,73.5
2009,47.7,776.2,69.0,38.6,37.4,515.4,102.9,62.5,34.5,269.4,93.7,59.2,59.5,75.8
2010,39.1,716.4,65.8,33.5,32.9,465.5,91.6,57.9,30.4,217.9,74.1,43.7,53.4,60.2
2011,49.0,845.5,71.0,24.6,35.0,541.5,108.4,54.5,30.2,313.9,72.7,41.6,52.1,61.7
2012,52.2,789.5,70.1,32.8,34.8,514.5,107.0,59.6,31.9,311.5,70.0,52.1,61.4,79.1
2013,43.9,689.9,75.4,37.5,31.4,398.8,85.5,60.6,31.9,279.4,66.2,49.8,63.6,71.0
2014,50.8,904.0,82.8,45.0,35.8,526.1,108.9,73.1,35.8,394.5,77.3,57.0,72.0,76.8
2015,47.6,674.8,78.3,39.8,33.3,398.8,82.4,68.2,33.3,299.7,61.0,52.8,62.0,69.2
2016,46.8,799.4,73.6,39.4,,467.4,102.4,70.4,30.1,322.2,80.6,58.3,60.0,77.7
2017
