year,sugar-beet,wheat,winter-rapeseed,poppy,maize-for-grain,millet,barley,apple,potatoes,buckwheat,soybean,sunflower,triticale,grapes
,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha
2000,303.7,31.0,14.6,2.8,30.4,8.1,19.9,266.9,154.7,9.2,8.1,17.0,21.5,35.0
2001,408.0,40.1,22.6,4.8,50.2,14.8,32.9,121.7,123.5,7.2,16.5,18.7,31.3,54.5
2002,436.3,38.3,20.8,4.5,53.9,12.1,35.7,109.6,185.9,9.6,16.1,18.7,26.5,34.7
2003,366.2,30.3,10.2,4.2,41.2,10.3,29.9,173.3,152.7,9.0,11.1,19.3,22.6,52.2
2004,450.3,48.0,28.7,7.3,58.3,14.4,41.3,128.0,157.6,5.6,15.9,21.8,36.1,47.1
2005,522.2,43.1,22.1,5.4,69.7,11.6,36.2,147.0,157.7,11.3,17.4,21.4,30.4,41.2
2006,494.6,38.5,21.2,4.6,55.5,8.1,34.8,92.0,143.1,6.2,17.1,21.0,25.1,44.2
2007,448.9,38.2,20.9,3.0,39.7,9.0,31.4,54.6,161.9,7.0,14.2,20.5,28.6,42.7
2008,610.6,48.7,26.1,6.3,81.7,14.6,41.8,122.0,171.9,9.4,21.0,25.7,34.5,53.5
2009,563.4,40.6,23.2,4.4,68.5,10.0,34.5,137.3,186.0,5.4,16.6,22.6,30.4,45.1
2010,545.2,34.6,19.7,5.5,55.3,10.0,27.2,127.5,114.5,6.3,17.2,18.1,25.2,25.9
2011,641.4,45.0,23.1,8.0,71.5,9.1,38.7,136.7,209.4,13.0,18.8,22.7,31.8,49.4
2012,453.1,32.9,19.9,3.9,55.1,11.7,31.8,153.0,185.4,7.0,19.1,21.9,31.0,49.8
2013,562.9,45.8,27.4,10.1,50.7,10.8,36.8,164.4,183.2,6.7,13.6,23.3,33.5,53.0
2014,697.9,54.6,35.7,10.7,83.9,12.3,48.7,189.7,196.4,3.8,25.3,26.2,38.0,43.9
2015,560.1,55.1,26.9,10.6,48.5,12.1,47.8,194.7,179.3,9.9,14.3,23.1,36.1,57.0
2016,701.5,58.4,34.6,9.4,92.5,15.4,50.8,89.7,214.6,10.6,26.5,29.4,39.0,43.4
2017,550.0,47.4,29.9,6.2,56.8,12.2,45.3,149.1,200.9,8.6,23.3,25.1,34.7,54.1
