year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,other-cereal,winter-rapeseed,sunflower,spring-field-peas,broad-bean,lupine,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,67,59,54,55,82,46,19,19,45,40,30,128,87,51
2001,64,56,46,40,82,40,22,22,39,40,30,132,81,45
2002,76,63,61,58,77,60,35,25,47,40,30,130,82,47
2003,69,60,52,50,68,40,28,25,40,40,30,110,56,31
2004,77,68,62,50,82,50,27,25,35,30,30,134,83,48
2005,70,65,62,50,78,50,35,25,35,30,30,122,60,43
2006,73,64,57,51,79,50,27,25,45,27,30,117,65,47
2007,61,56,54,40,90,30,25,22,38,27,27,135,99,72
2008,74,68,65,45,90,32,34,25,35,35,30,120,84,60
2009,78,71,65,45,93,35,38,22,44,38,35,126,73,51
2010,77,66,63,40,76,30,35,20,48,35,39,108,62,45
2011,79,68,69,48,97,33,37,25,48,35,35,137,66,47
2012,75,71,66,40,89,35,35,25,46,35,33,135,98,65
2013,77,71,60,45,84,28,34,22,40,33,35,140,67,44
2014,76,74,63,47,96,32,34,22,40,33,35,147,88,71
2015,80,77,66,58,87,32,36,23,45,36,35,131,84,57
2016,69,66,55,45,81,30,35,22,39,36,35,130,65,42
2017,80,73,59,46,96,38,41,20,38,36,37,141,75,55
