year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,maize-silage,temporary-grasslands,permanent-grasslands,apple,pear
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,64,54,57,81,,21,25,25,48,33,130,97,80,340,300
2001,65,58,55,83,,26,23,20,32,30,135,82,65,340,300
2002,78,69,63,82,,35,26,23,42,33,130,85,69,530,240
2003,65,55,53,70,38,35,26,20,39,25,120,61,57,450,205
2004,75,68,65,80,55,31,25,20,37,22,120,80,62,450,210
2005,74,67,70,72,55,38,30,20,38,28,90,76,63,450,210
2006,69,59,57,81,55,29,25,20,38,21,107,60,53,450,210
2007,69,59,57,81,55,29,26,18,30,22,141,103,90,475,161
2008,71,65,65,73,53,33,29,19,42,26,130,96,76,587,150
2009,75,70,65,70,53,40,24,,44,34,131,93,73,573,222
2010,70,63,62,70,50,31,21,15,43,24,56,52,39,660,223
2011,67,60,60,92,55,34,29,15,30,25,129,73,62
2012,74,71,62,81,50,37,19,15,40,32,137,113,85,352
2013,71,65,62,71,55,32,22,16,43,31,128,90,75,560,443
2014,77,73,65,95,57,37,30,21,40,36,149,105,90,429,250
2015,80,76,70,80,51,33,24,16,44,30,128,97,83,551,287
2016,62,58,55,66,50,35,27,19,40,30,120,90,61,459,213
2017,76,70,69,89,62,40,30,26,39,27,139,82,73,214,240
