year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,maize-silage,temporary-grasslands,permanent-grasslands,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Tons-ha
2000,79,75,68,105,,29,30,25,49,40,130,93,61,430
2001,71,72,72,98,,31,20,25,36,35,120,90,59,347
2002,86,79,75,91,,35,25,25,50,50,120,85,61,424
2003,63,58,57,91,,34,30,20,44,44,100,50,30,344
2004,84,83,75,103,,38,22,20,47,47,115,65,44,385
2005,78,83,72,104,,42,27,20,44,44,105,67,43,374
2006,74,74,68,100,50,30,28,22,43,38,90,52,35,418
2007,75,74,62,100,50,34,30,20,35,31,130,78,47,846
2008,81,89,60,104,50,39,31,25,45,25,90,78,47,899
2009,83,78,65,102,50,43,30,20,51,38,90,53,42,940
2010,78,76,65,109,60,35,30,20,50,35,109,64,39,864
2011,72,70,62,114,65,39,31,25,42,30,112,61,31
2012,82,85,72,103,60,40,30,20,37,30,90,78,47
2013,81,76,70,109,60,34,25,19,42,30,91,83.3,51
2014,85,87,70,114,60,42,27,20,40,26,122,75.7,46
2015,86,85,69,106,57,40,24,26,38,28,99,72.5,45
2016,54,60,46,98,48,32,25,22,27,18,99,64.5,40,466.31
2017,80,76,63,118,59,41,35,33,42,28,149,90,52,452.15
