year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,potatoes,sugar-beet,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,80,72,70,70,98,30,30,,50,,334,770,120,86,49
2001,75,70,65,65,92,31,30,,38,40,359,700,120,90,55
2002,82,75,65,70,87,35,28,25,54,42,378,750,140,89,55
2003,63,61,60,55,78,33,25,,48,30,325,610,94,63,41
2004,83,78,70,70,93,41,28,,53,38,335,760,140,87,53
2005,73,72,60,60,94,40,30,,43,25,338,808,140,78,51
2006,66,69,59,60,85,29,22,,43,35,373,720,100,67,41
2007,76,70,65,70,99,32,28,,47,59,463,850,100,102,68
2008,83,81,70,65,96,36,30,,48,54,426,850,100,100,65
2009,83,78,72,81,88,42,34,,55,51,428,936,100,100,65
2010,76,74,55,70,105,36,32,28,50,30,408,925,100,77,52
2011,67,63,55,60,110,33,30,28,36,32,453,1041,100,68,45
2012,82,80,61,55,93,39,30,28,45,43,428,926,100,67,44
2013,83,74,65,65,95,33,29,28,47,39,442,840,100,74,48
2014,85,81,65,65,112,39,30,28,43,38,486,920,110,102,66
2015,83,81,65,63,88,37,26,28,41,27,466,780,88,96,62
2016,45,53,25,30,68,30,23,28,22,25,462,800,85,88,57
2017,75,77,60,60,106,39,33,28,42,34,521,940,98,98,64
