year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-rapeseed,sunflower,spring-field-peas,broad-bean,potatoes,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,70,71,30,60,90,29,29,48,40,299,57,125,130,103
2001,63,63,55,55,70,22,24,38,35,398,50,105,87,70
2002,69,69,55,60,73,29,29,44,40,279,56,120,73,58
2003,52,53,42,48,55,28,28,41,30,169,43,90,47,38
2004,78,79,68,60,90,37,31,49,36,299,49,132,90,71
2005,70,69,60,50,80,33,35,41,45,319,44,131,83,65
2006,67,66,60,50,65,31,23,44,25,299,42,105,89,70
2007,59,52,52,45,75,31,24,30,35,317,46,125,93,73
2008,68,65,57,50,74,32,26,40,45,298,37,125,88,69
2009,73,68,61,55,90,37,30,50,40,283,42,135,76,57
2010,68,66,60,50,86,31,22,50,37,275,39,120,67,68
2011,64,59,57,51,102,32,30,34,27,450,53,141,65,54
2012,55,57,57,42,73,22,30,40,45,360,16,128,70,60
2013,68,60,57,50,72,26,22,40,36,400,14,90,70,62
2014,66,65,49,50,95,36,23,37,30,500,28,125,74,59
2015,73,73,65,49,49,35,20,37,33,320,35,72,46,37
2016,46,54,48,40,64,27,19,24,24,290,46,88,67,52
2017,58,55,49,40,98,32,31,28,26,350,34,120,61,51
