year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,potatoes,sugar-beet,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,74,65,60,110,36,30,27,30,,317,750,172,97,75
2001,67,58,55,98,29,29,25,23,,307,675,152,90,68
2002,73,61,55,101,35,27,30,34,29,364,761,155,87,65
2003,52,49,44,88,25,24,26,35,25,264,671,108,52,38
2004,80,66,60,107,38,25,30,38,30,367,755,170,90,63
2005,70,59,60,105,37,29,28,45,30,328,846,157,84,58
2006,68,60,60,100,33,25,28,45,27,262,718,140,76,53
2007,64,52,52,108,32,,33,30,20,358,854,158,95,66
2008,70,61,60,110,32,32,32,30,20,365,809,160,88,62
2009,74,70,70,114,35,33,30,32,27,405,953,189,69,48
2010,72,69,64,101,34,30,32,40,35,430,890,151,92,63
2011,81,71,70,125,39,36,31,30,25,418,1075,175,76,48
2012,71,65,59,121,35,33,36,42,20,469,946,163,94,60
2013,74,60,55,104,38,16,32,30,22,386,886,148,77,54
2014,82,72,65,120,46,14,33,22,26,417,922,166,81,59
2015,85,80,60,112,42,14,35,33,25,289,857,121,65,43
2016,55,53,40,106,39,10,34,33,12,345,790,112,80,54
2017,77,72,54,120,45,11,36,37,31,395,996,170,66,43
