year,spring-oat,winter-soft-wheat,spring-soft-wheat,winter-rapeseed,maize-silage,maize-for-grain,spring-barley,winter-barley,potatoes,permanent-grasslands,rye,triticale
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-DM-ha,Q-ha,Q-ha
2000,54,69.6,57.2,34,474,100.5,50.8,62,394.2,64,54,64
2001,55,70.2,55.8,35,446,88,49,63,354,63,56,64
2002,49,68.2,56.5,32,467,101,47,60,340,63,54,63
2003,49,59.7,51.1,27,403,76,49,53,269,44,45,55
2004,55,77.7,64.1,38,447,92,57,65,358,58,59,71
2005,49,68.8,56.6,38,462,95,48,55,345,60,54,63
2006,52,73.5,58.6,40,439,81,51,62,320,57,55,66
2007,45,72.3,54.8,42,470,98,44,60,350,61,53,67
2008,56,74.4,59.1,37,478,105,53,58,357,60,59,68
2009,59,73.5,60.1,42,484,109,55,66,369,61,60,69
2010,50,69,56.1,39,439,99,55,62,347,58,56,66
2011,48,70,57.6,27,485,121,50,62,432,58,48,68
2012,56,68.3,59.6,33,471,117,61,63,419,59,54,62
2013,45,74.1,59,37,427,96,55,68,365,57,59,70
2014,53,83.5,60.6,47,485,116,60,76,473,59,53,74
2015,47,76.3,54.2,41,393,84,54,67,369,49,53,68
2016,46,66.1,51.3,39,427,96,50,67,366,62,56,53
2017,45,77.8,,38,486,116,57,74,444,,,70
