year,sugar-beet,wheat,winter-rapeseed,maize,hops,barley,apple,potatoes,oats,rye,soybean,sorghum,triticale,grapes
,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha
2000,148.8,23.0,13.1,17.1,5.9,21.5,69.0,123.3,10.9,15.8,7.7,13.9,24.7,52.9
2001,228.2,30.4,12.6,31.2,11.1,30.0,69.5,144.8,17.5,23.3,16.7,13.4,33.0,46.9
2002,234.3,20.6,6.6,30.4,9.3,21.1,67.9,144.4,14.2,19.1,20.9,14.2,24.4,46.2
2003,201.5,17.6,6.3,30.7,10.3,17.0,113.3,140.0,13.5,16.1,18.4,10.6,18.9,48.3
2004,323.9,34.8,20.6,45.5,7.4,34.1,149.6,166.5,23.9,25.2,26.6,37.6,36.2,59.9
2005,291.6,30.0,17.5,39.8,6.9,22.9,78.1,131.0,17.7,23.7,23.9,25.3,28.1,29.6
2006,294.3,27.7,17.1,35.8,6.7,23.7,99.6,141.9,17.7,20.7,19.4,18.0,26.1,47.9
2007,263.3,16.1,11.8,17.0,8.5,15.7,80.5,136.2,12.4,17.2,12.5,13.3,25.7,50.1
2008,348.9,34.2,18.8,32.3,5.1,31.3,83.9,140.5,19.1,24.2,19.6,26.3,31.7,53.3
2009,386.1,24.3,13.7,34.2,5.4,23.0,98.3,153.8,14.7,21.3,17.5,23.8,25.3,53.9
2010,387.4,27.0,17.9,43.2,10.8,25.7,98.1,133.0,16.8,23.7,23.6,19.9,30.3,42.1
2011,351.4,36.7,18.9,45.3,6.6,31.7,117.7,164.2,20.3,25.5,19.8,31.3,34.6,49.9
2012,265.9,26.6,16.2,21.9,7.7,23.3,83.6,107.6,17.5,21.0,13.4,19.3,27.9,42.0
2013,367.1,34.8,24.1,44.9,7.2,31.2,85.2,158.5,20.5,22.2,22.2,23.7,33.8,55.8
2014,447.3,36.0,26.2,47.9,11.0,33.4,91.4,173.7,21.3,24.0,25.6,30.0,35.9,44.6
2015,392.2,37.9,25.1,34.7,10.0,34.7,85.2,137.7,20.0,25.3,20.7,24.8,35.0,45.1
2016,411.2,39.5,28.4,41.7,8.1,37.8,84.1,144.4,22.5,24.8,21.0,27.0,34.8,42.1
2017,418.0,48.9,28.0,59.6,5.5,41.9,62.7,181.9,24.6,29.4,23.9,39.5,41.4,60.6
