year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-oat,other-cereal,winter-rapeseed,spring-field-peas,broad-bean,lupine,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,60,59,55,55,72,45,40,20,40,30,25,117,88,52
2001,72,66,61,55,84,56,40,27,50,40,40,126,88,52
2002,64,59,58,50,66,48,40,37,40,40,25,111,102,61
2003,68,64,64,50,70,54,40,35,45,30,25,117,65,37
2004,70,68,66,50,84,53,40,32,37,44,22,138,109,62
2005,68,65,68,38,91,50,40,35,45,40,22,133,92,51
2006,71,63,59,46,77,50,50,30,45,40,35,116,62,37
2007,50,52,40,40,72,35,30,24,39,35,30,108,98,63
2008,71,67,62,40,72,48,32,32,44,40,40,108,104,67
2009,75,70,66,45,89,50,35,38,42,40,40,113,79,49
2010,66,63,63,40,86,47,30,34,48,30,38,112,74,48
2011,51,61,54,40,91,48,33,36,48,30,38,130,67,40
2012,59,62,57,42,79,52,35,32,42,30,38,128,95,59
2013,74,73,63,44,81,56,29,35,42,32,38,125,70,47
2014,74,73,65,46,95,56,30,35,42,32,38,147,90,63
2015,74,75,62,55,85,50,30,33,40,36,38,133,93,45
2016,68,66,60,45,85,38,26,32,40,35,34,129,56,36
2017,75,68,61,46,96,48,35,38,46,37,35,144,77,49
