year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-rapeseed,sunflower,spring-field-peas,broad-bean,potatoes,sugar-beet,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,80,70,60,53,102,29,20,44,40,275,760,130,97,75
2001,77,66,50,50,89,31,20,40,40,280,630,115,102,78
2002,83,75,70,65,88,35,25,55,42,331,750,130,103,72
2003,68,64,60,60,67,34,23,48,33,278,630,100,60,43
2004,84,76,62,65,94,41,25,55,41,310,790,130,96,68
2005,80,70,60,60,85,40,25,45,39,348,785,100,93,67
2006,75,72,65,60,90,30,22,42,43,368,735,100,75,46
2007,76,70,65,70,98,32,28,47,59,473,850,100,110,81
2008,83,81,70,65,95,36,30,48,54,438,850,100,110,80
2009,89,78,72,,88,42,34,52,54,433,923,100,110,80
2010,85,75,65,,100,37,32,50,33,419,849,100,82,60
2011,74,69,55,,100,39,32,37,34,467,971,100,72,52
2012,82,79,60,58,93,39,30,45,50,437,860,100,71,51
2013,85,72,65,65,97,34,29,47,39,451,860,100,78,56
2014,83,78,65,,108,38,30,42,41,498,890,110,108,77
2015,91,89,65,,80,39,25,45,23,478,860,88,102,72
2016,50,57,25,,67,30,20,25,26,469,790,85,94,66
2017,82,80,60,,100,42,34,45,28,528,950,97,104,74
