year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,16,0,-102,5,2,-278,43,21,61
1988,33,1,-132,3,4,-276,45,34,109
1989,10,5,-65,2,0,-161,65,28,97
1990,15,1,-102,4,2,-224,50,33,117
1991,9,6,-112,1,0,-324,75,11,92
1992,7,3,-37,5,0,-233,60,22,51
1993,5,1,-90,2,0,-209,77,23,99
1994,4,5,-156,4,2,-337,59,15,125
1995,10,4,-46,2,0,-194,33,13,84
1996,18,2,-77,4,3,-302,58,30,135
1997,6,1,-131,1,1,-315,61,21,29
1998,11,0,-110,6,4,-309,55,16,122
1999,15,1,-158,3,1,-357,48,27,113
2000,3,1,-54,2,5,-222,56,18,44
2001,8,9,-113,3,0,-189,67,22,176
2002,11,1,-17,2,2,-167,60,21,49
2003,8,3,-58,4,10,-222,59,35,83
2004,8,2,-93,5,1,-291,63,13,111
2005,8,4,-38,2,1,-139,63,29,110
2006,11,1,-65,3,7,-151,56,27,118
2007,9,2,-8,4,10,-201,62,14,76
2008,2,0,-75,1,0,-103,55,23,92
2009,11,3,-47,3,5,-147,70,14,98
2010,20,0,-106,3,1,-256,54,20,142
2011,7,7,-74,1,0,-117,57,21,65
2012,3,5,-24,0,1,-89,66,11,133
2013,9,5,-21,3,0,-135,65,21,78
2014,7,0,-178,4,4,-340,54,19,156
2015,6,8,-30,0,1,-92,59,32,91
2016,22,3,-33,4,2,-176,57,22,81
2016
2017,21,4,-65,4,8,-254,48,15,130
2018,23,9,-142,4,2,-323,45,3,20
2019,21,2,-141,1,3,-279,54,12,142
2020,26,4,-42,2,4,-225,41,7,106
2021,15,2,-174,3,4,-404,67,19,88
2022,25,1,-133,5,1,-337,34,8,48
2023,25,0,-146,4,2,-368,45,22,136
2024,15,1,-139,3,3,-323,54,20,65
2025,16,3,-38,1,4,-239,48,4,69
2026,19,5,-146,4,6,-341,54,14,100
2027,16,3,-87,4,9,-283,53,6,142
2028,22,5,-60,0,11,-168,55,15,110
2029,8,2,-104,6,2,-306,60,18,103
2030,22,0,-122,4,5,-310,42,3,96
2031,20,3,-88,2,3,-210,58,11,105
2032,9,3,66,2,4,-98,77,18,81
2033,31,8,-66,3,4,-231,36,3,130
2034,16,1,-43,2,0,-264,62,14,75
2035,32,3,-150,7,7,-333,52,7,133
2036,16,1,-50,3,7,-243,53,14,96
2037,15,1,-69,2,1,-265,47,17,88
2038,18,2,-98,3,0,-274,56,19,109
2039,15,1,-68,2,1,-227,52,6,105
2040,13,10,-78,3,6,-271,58,23,74
2041,14,2,-11,1,0,-116,41,20,146
2042,12,0,-17,3,1,-155,64,8,112
2043,23,1,-116,1,4,-248,48,27,47
2044,21,4,-85,3,1,-213,61,23,182
2045,22,1,-126,4,0,-237,54,10,153
2046,23,0,-70,1,1,-194,44,20,92

min,,,,0
max,,,,14
steps,,,,8
decimal



