year,spring-oat,sugar-beet,winter-soft-wheat,spring-soft-wheat,winter-rapeseed,maize-silage,maize-for-grain,spring-barley,winter-barley,apple,potatoes,permanent-grasslands,rye,triticale,vineyards
,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,,dt/ha,dt/ha,dt/ha,dt/ha,hl/ha
2000,52,686,71.3,62,31,484.2,101.9,55,62.9,,421,63,60.7,64
2001,54,596.2,70.3,54,33,448,88,49,66,,365,62,57.5,66
2002,48,699.4,70,70,34,458,100,52,62,,322,59,58.6,64,122.7
2003,47,513.7,59.7,60,26,365,74,51,60,,255,40,51.6,56,82.5
2004,57,664.5,81.4,61,43,429,90,64,73,,383,50,74.7,77,118.4
2005,50,682.5,71.7,49,41,434,94,56,59,,365,53,67.4,73,109.3
2006,55,695.6,76.2,57,44,447,87,60,65,,356,59,70,76,106.5
2007,42,657.7,71.5,64,41,475,98,45,58,,376,54,63,66,115.9
2008,56,684.3,78.6,59,40,518,101,58,65,,373,56,64.4,81,104.2
2009,62,749.4,78.1,,46,478,106,64,70,,392,56,71.2,79,99
2010,51,723.3,73.5,67,43,462,91,66,66,,374,62,69.2,81,70.1
2011,49,802,71.9,81,31,481,113,51,66,,455,69,,69,88
2012,56,683.6,67.1,,37,470,109,69,58,,446,60,,,104.7
2013,53,798.7,82.4,,40,462,101,71,77,,419,58,,,83.7
2014,,894.2,85.5,,48,533,114,63,77,,483,53,,,94.1
2015,,720.9,85.2,,45,411,84,68,75,,,46,,,100.1
2016,,830.4,71.1,,38,471,103,52,75,,408,63,,,105.4
2017
