year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,potatoes,sugar-beet,maize-silage,temporary-grasslands,permanent-grasslands,lucerne,vineyards
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha
2000,86,75,75,98,32,33,,40,56,475,815,135,134,72,,90
2001,84,74,70,88,30,26,28,41,39,450,639,125,127,72,,77
2002,87,79,60,85,35,33,24,52,48,490,817,120,125,70,,82
2003,74,64,70,64,34,35,25,46,45,495,718,100,121,51,,50
2004,94,82,87,92,42,33,25,53,51,510,800,125,130,75,,105
2005,82,80,75,89,41,35,,41,38,466,865,136,129,69,,95
2006,79,77,55,76,34,30,,46,40,447,808,122,128,77,,97
2007,80,73,50,100,33,30,,36,55,510,941,130,141,84,141,92
2008,77,79,55,88,34,32,,50,55,437,904,130,125,76,125,91
2009,89,80,58,93,42,34,,57,58,500,1006,132,121,69,121,90
2010,87,79,60,87,38,27,,50,34,446,815,105,116,69,116,75
2011,84,73,62,95,41,30,28,36,43,505,993,130,125,39,125,92
2012,80,76,40,92,37,31,25,49,43,495,928,131,118,64,118,62
2013,88,75,60,77,34,26,20,45,35,510,891,103,116,64,116,87
2014,94,84,58,99,43,28,25,47,30,550,978,145,132,66,132,86
2015,96,93,64,66,42,25,25,48,28,489,817,75,113,39,113,75
2016,56,61,36,75,34,31,13,26,30,440,958,114,109,64,108,66
2017,81,76,45,104,43,28,25,35,23,502,960,150,115,76,127,66
