year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,winter-rapeseed,sunflower,linseed-oild,spring-field-peas,broad-bean,sugar-beet,maize-silage,temporary-grasslands,permanent-grasslands,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,72,65,52,87,24,20,20,44,25,730,128,80,66,158
2001,75,72,50,75,27,20,20,39,30,610,124,74,59,252
2002,82,74,60,72,35,20,21,53,35,785,148,86,71,200
2003,81,66,63,86,37,20,19,48,32,755,136,68,56,215
2004,86,76,66,78,34,20,20,46,40,778,135,88,67,191
2005,77,70,63,86,38,20,25,44,46,777,128,82,63,210
2006,76,67,63,96,29,22,25,49,47,860,148,99,71,220
2007,65,63,49,82,28,20,24,33,47,807,128,120,84,263
2008,84,77,73,89,37,27,28,52,58,902,125,100,67,253
2009,82,75,66,88,39,25,21,51,53,867,149,85,56,213
2010,81,73,62,88,37,25,20,52,35,793,126,62,43,230
2011,77,65,51,95,34,22,30,56,45,931,160,86,58,300
2012,79,78,69,87,38,25,25,47,47,797,131,95,63,235
2013,83,79,60,89,35,25,25,44,37,797,129,70,51,287
2014,82,77,61,87,37,25,24,46,54,900,139,97,68,287
2015,86,81,63,93,41,25,24,44,44,975,143,81,55,300
2016,64,62,50,72,35,24,22,38,43,800,126,68,50,250
2017,82,72,60,95,41,27,35,38,40,995,145,85,60,200
