year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,rye,winter-rapeseed,sunflower,spring-field-peas,broad-bean,potatoes,sugar-beet,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,79,70,60,98,58,27,32,43,50,394,795,140,86,65
2001,77,67,53,85,60,28,25,41,41,473,640,110,73,62
2002,77,69,62,85,50,28,35,54,56,463,769,140,90,70
2003,70,58,48,88,47,32,30,44,46,468,765,130,66,57
2004,87,81,65,98,50,41,27,50,58,518,767,140,80,73
2005,77,77,62,97,45,39,23,40,35,444,865,134,79,72
2006,75,71,55,93,60,31,30,47,42,401,797,126,74,68
2007,69,63,50,91,60,31,28,38,55,482,886,124,81,74
2008,75,74,60,91,50,32,31,40,55,460,874,140,75,67
2009,81,72,71,95,50,40,30,45,52,440,1004,147,68,67
2010,78,69,62,91,60,37,25,45,33,420,784,110,68,46
2011,80,71,62,99,49,39,31,38,42,460,995,133,41,37
2012,71,66,57,92,45,34,28,43,55,528,942,120,67,65
2013,79,65,65,84,45,31,26,39,33,490,864,105,63,61
2014,90,78,72,102,47,40,30,44,31,495,916,149,77,76
2015,92,88,66,93,50,40,25,50,25,430,772,133,45,43
2016,56,63,45,97,25,33,20,22,31,400,973,122,66,57
2017,79,76,64,107,45,42,25,38,27,478,960,150,65,59
