year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,winter-rapeseed,winter-oat,cereals-mixed-and-only-cereals,spring-field-peas,broad-bean,potatoes,maize-silage,temporary-grasslands,permanent-grasslands,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,65,55,60,88,21,41,39,40,32,171,133,93,79,216
2001,65,54,70,85,25,40,39,40,40,139,145,89,77,298
2002,72,60,70,90,30,45,40,35,35,202,145,111,96,241
2003,75,65,75,78,26,50,40,40,35,173,139,82,77,227
2004,75,62,70,90,32,45,40,35,35,175,145,99,88,177
2005,66,60,65,95,35,45,40,32,35,181,145,91,83,197
2006,70,61,62,88,30,50,40,40,38,283,132,96,87,220
2007,53,53,48,84,25,40,35,26,38,250,121,130,118,263
2008,72,61,69,88,33,55,42,40,45,239,134,114,103,253
2009,72,65,63,96,35,57,42,40,43,234,148,95,86,213
2010,74,58,54,90,32,52,41,47,35,278,132,62,57,230
2011,73,63,60,95,34,51,41,48,31,306,148,93,87,300
2012,66,62,56,80,37,54,40,40,35,270,138,110,98,235
2013,71,69,57,90,32,52,67,35,37,270,141,74,66,287
2014,71,67,58,90,33,57,65,40,40,274,145,114,103.9,287
2015,77,74,59,91,37,58,52,40,40,267,140,95,87,300
2016,62,60,50,88,35,50,48,38,43,305,137,79,71,250
2017,75,68,60,102,44,55,50,40,35,332,154,99,90,230
