year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,winter-oat,winter-rapeseed,bean,winter-field-peas,potatoes,rye,apple,pear,tomatoe
,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha,tonnes/ha
2000,5.6,5.1,5.5,8.0,4.8,2.6,,2.9,33.6,5.4,11.3,10.8,67.5
2001,5.5,4.6,5.4,9.1,4.5,2.8,2.4,3.5,31.0,6.4,4.2,2.5,60.0
2002,6.0,5.4,5.7,7.1,5.2,3.6,4.1,3.4,29.9,7.0,10.5,9.6,45.0
2003,6.1,5.3,5.4,5.6,5.3,3.4,3.0,3.7,29.4,6.3,3.8,10.4,97.5
2004,6.8,5.9,6.5,8.0,5.0,3.9,2.9,3.6,35.0,7.4,10.5,11.6,75.0
2005,6.0,5.3,5.4,9.6,4.6,3.6,3.1,3.3,31.8,6.2,3.7,8.6,87.0
2006,6.0,5.3,5.7,6.5,4.4,3.4,3.4,3.2,27.6,5.6,8.9,11.4,69.0
2007,5.6,4.8,5.0,7.5,3.9,3.4,2.2,2.3,31.8,5.6,9.6,16.6,85.0
2008,6.7,5.4,6.0,6.0,5.0,3.2,2.8,6.0,36.0,6.7,12.8,16.2,83.0
2009,6.6,5.8,6.3,6.0,5.2,3.9,3.5,4.2,33.2,6.3,9.7,14.2,75.0
2010,6.0,5.2,5.3,8.3,4.2,3.4,2.7,3.0,31.8,5.7,9.9,14.3,71.0
2011,5.5,4.8,5.1,7.8,3.6,3.3,2.5,2.5,31.0,5.1,8.8,13.1,98.5
2012,5.9,5.3,4.9,8.1,5.2,3.3,2.6,2.9,34.3,5.0,7.5,9.0,147.7
2013,6.4,5.5,5.6,10.8,4.9,3.4,2.3,3.7,29.2,5.7,8.0,12.9,140.5
2014,6.2,5.5,6.3,7.7,4.6,3.8,2.7,2.8,31.2,6.5,10.8,15.7,146.4
2015,6.3,5.8,5.9,6.6,4.9,3.5,1.6,2.9,22.8,6.3,9.3,25.7,133.7
2016,5.1,4.9,5.0,6.7,4.8,3.1,1.5,1.8,30.4,4.6,5.8,28.5,8.5
2017,5.5,5.3,5.2,8.6,4.5,3.5,1.2,2.9,34.2,4.9,3.7,10.4,8.5
