year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,winter-rapeseed,linseed-oild,spring-field-peas,broad-bean,sugar-beet,potatoes,maize-silage,temporary-grasslands,permanent-grasslands,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,76,70,60,79,29,15,52,50,717,371,130,118,89,205
2001,76,68,65,85,33,12,47,40,671,389,135,107,80,250
2002,83,76,75,88,38,14,52,40,802,441,140,102,75,188
2003,84,72,63,90,39,18,50,55,860,435,144,100,72,200
2004,94,84,75,90,40,15,58,50,817,436,140,115,83,200
2005,81,76,70,92,39,15,52,55,822,445,140,115,83,217
2006,81,72,70,90,31,15,47,47,850,457,150,112,79,189
2007,73,69,61,76,33,20,41,55,820,487,134,140,97,242
2008,93,85,68,87,38,30,51,55,883,467,159,112,79,211
2009,91,82,68,87,41,30,55,56,971,467,151,86,60,211
2010,92,79,70,86,43,30,55,37,820,442,135,85,57,211
2011,93,81,70,97,47,30,57,50,986,520,146,96,70,210
2012,87,80,71,71,37,30,52,63,863,450,148,96,70,150
2013,89,78,63,79,38,30,53,47,872,453,143,73,66,200
2014,83,80,54,85,36,30,50,53,952,496,147,175,132,200
2015,96,92,65,92,44,35,48,40,978,475,154,74,61,300
2016,65,64,45,78,34,30,30,34,920,430,153,95,66,270
2017,95,81,55,80,43,35,45,35,1022,545,161,101,71,137
