year,spring-oat,sugar-beet,winter-soft-wheat,winter-rapeseed,maize-for-grain,winter-barley,apple,potatoes,buckwheat,rye,soybean,sunflower,triticale,vetch
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,27.11,458.26,42.09,26.08,64.29,32.93,161.63,213.30,20.00,34.20,12.46,21.42,37.42,8.33
2001,28.53,454.11,48.48,28.38,65.98,39.70,122.87,208.82,19.55,37.21,15.89,19.88,38.74,8.26
2002,27.48,494.52,45.55,22.67,87.32,36.73,179.24,235.12,20.00,33.72,21.29,22.52,37.66,8.30
2003,30.19,452.01,40.68,15.45,55.76,37.62,150.91,189.68,20.83,38.01,15.50,23.51,35.21,8.37
2004,38.76,503.44,58.42,36.02,61.35,49.69,154.63,239.56,20.33,52.92,14.33,21.55,48.65,8.39
2005,29.24,533.12,50.52,28.80,71.70,42.10,140.56,280.83,20.00,41.95,20.37,23.92,39.37,7.86
2006,26.85,514.83,44.87,30.12,67.53,35.93,146.81,230.53,20.41,33.28,18.51,21.45,32.02,8.00
2007,27.01,532.49,48.57,30.57,67.96,37.97,127.27,257.15,20.55,47.33,17.51,21.29,41.06,8.33
2008,31.78,572.58,57.73,29.39,75.45,46.52,170.42,258.35,21.94,48.34,21.71,24.93,44.25,8.65
2009,33.19,579.10,52.43,31.79,84.51,44.04,157.95,261.90,22.55,46.31,22.56,23.82,42.06,8.81
2010,26.44,543.55,49.92,28.26,67.06,40.74,110.52,245.64,23.91,39.09,17.03,21.11,37.32,8.95
2011,36.32,668.44,56.92,28.02,87.91,48.65,90.97,304.47,23.99,47.41,23.65,24.83,45.24,9.08
2012,33.87,632.57,43.16,27.64,77.78,42.28,126.73,279.81,25.00,48.09,22.90,23.12,43.07,10.00
2013,31.94,599.95,56.68,34.46,69.70,45.67,135.61,231.18,24.00,47.01,20.70,22.00,45.76,10.00
2014,36.00,702.78,65.10,39.49,84.28,56.12,143.15,290.73,25.00,51.34,22.77,22.74,50.29,9.65
2015,36.46,593.81,63.56,34.31,55.36,54.42,186.98,222.63,25.45,49.08,16.44,20.47,47.25,9.60
2016,35.20,678.08,64.96,34.58,97.88,56.65,166.86,298.80,25.45,49.81,26.37,28.52,48.79,9.81
2017,32.33,665.58,56.71,29.07,68.39,52.25,143.26,294.20,25.50,49.16,24.12,24.61,48.88,9.91
