year,spring-oat,sugar-beet,wheat,winter-rapeseed,maize-for-grain,barley,apple,potatoes,buckwheat,rye,soybean,sunflower,triticale,vetch
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,27.1,458.3,42.1,26.1,64.3,32.9,161.6,213.3,20.0,34.2,12.5,21.4,37.4,8.3
2001,28.5,454.1,48.5,28.4,66.0,39.7,122.9,208.8,19.5,37.2,15.9,19.9,38.7,8.3
2002,27.5,494.5,45.6,22.7,87.3,36.7,179.2,235.1,20.0,33.7,21.3,22.5,37.7,8.3
2003,30.2,452.0,40.7,15.5,55.8,37.6,150.9,189.7,20.8,38.0,15.5,23.5,35.2,8.4
2004,38.8,503.4,58.4,36.0,61.3,49.7,154.6,239.6,20.3,52.9,14.3,21.6,48.6,8.4
2005,29.2,533.1,50.5,28.8,71.7,42.1,140.6,280.8,20.0,41.9,20.4,23.9,39.4,7.9
2006,26.8,514.8,44.9,30.1,67.5,35.9,146.8,230.5,20.4,33.3,18.5,21.5,32.0,8.0
2007,27.0,532.5,48.6,30.6,68.0,38.0,127.3,257.2,20.6,47.3,17.5,21.3,41.1,8.3
2008,31.8,572.6,57.7,29.4,75.4,46.5,170.4,258.3,21.9,48.3,21.7,24.9,44.2,8.7
2009,33.2,579.1,52.4,31.8,84.5,44.0,157.9,261.9,22.5,46.3,22.6,23.8,42.1,8.8
2010,26.4,543.6,49.9,28.3,67.1,40.7,110.5,245.6,23.9,39.1,17.0,21.1,37.3,8.9
2011,36.3,668.4,56.9,28.0,87.9,48.7,91.0,304.5,24.0,47.4,23.6,24.8,45.2,9.1
2012,33.9,632.6,43.2,27.6,77.8,42.3,126.7,279.8,25.0,48.1,22.9,23.1,43.1,10.0
2013,31.9,600.0,56.7,34.5,69.7,45.7,135.6,231.2,24.0,47.0,20.7,22.0,45.8,10.0
2014,36.0,702.8,65.1,39.5,84.3,56.1,143.2,290.7,25.0,51.3,22.8,22.7,50.3,9.6
2015,36.5,593.8,63.6,34.3,55.4,54.4,187.0,222.6,25.4,49.1,16.4,20.5,47.2,9.6
2016,35.2,678.1,65.0,34.6,97.9,56.7,166.9,298.8,25.5,49.8,26.4,28.5,48.8,9.8
2017,32.3,665.6,56.7,29.1,68.4,52.3,143.3,294.2,25.5,49.2,24.1,24.6,48.9,9.9
